	voice Midi Diff								present		 Best		Sec

printNotes: i= 54-<1967 1962   5>,  	 C3 --    1/4th(131) <      > 	V133 - M131	= +2  %+2  	q= +2  %+2  	 0.766(79)
printNotes: i= 55-<1740 1743  -3>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(79)
printNotes: i= 56-<1888 1962 -74>,  	 C3 --    1/8th( 66) <      > 	V 79 - M 66	=+13  %+16  	q=+13  %+16  	 0.453(79)
printNotes: i= 57-<1578 1608 -30>,  	Ak2 -- 1/16th..( 57) <      > 	V 56 - M 57	= -1  %-2  	q= -1  %-2  	 0.319(79)


silence
printNotes: i= 58-<   0   40 -40>,  	Slc --   1/4th.(197) <      > 	V183 - M137	=+46  %+25  	q=-14  %-8  	 1.057(79)<-----%25   %8

printNotes: i= 59-<1449 1481 -32>,  	 G2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(79)
printNotes: i= 60-<1617 1608   9>,  	Ak2 -- 1/32nd..( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(79)
printNotes: i= 61-<1455 1481 -26>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 62-<1623 1608  15>,  	Ak2 --   1/16th( 33) <      > 	V 39 - M 33	= +6  %+15  	q= +6  %+15  	 0.221(79)
printNotes: i= 63-<1512 1481  31>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(79)
printNotes: i= 64-<1618 1608  10>,  	Ak2 --  1/16th.( 49) <      > 	V 42 - M 49	= -7  %-17  	q= -7  %-17  	 0.238(79)
printNotes: i= 65-<1712 1743 -31>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(79)
printNotes: i= 66-<1491 1481  10>,  	 G2 --   1/16th( 33) <      > 	V 34 - M 33	= +1  %+3  	q= +1  %+3  	 0.192(79)
printNotes: i= 67-<1628 1608  20>,  	Ak2 --   1/32nd( 16) <      > 	V 20 - M 16	= +4  %+20  	q= +4  %+20  	 0.110(79)
printNotes: i= 68-<1500 1481  19>,  	 G2 --   1/16th( 33) <      > 	V 35 - M 33	= +2  %+6  	q= +2  %+6  	 0.197(79)
printNotes: i= 69-<1611 1608   3>,  	Ak2 --  1/16th.( 49) <      > 	V 51 - M 49	= +2  %+4  	q= +2  %+4  	 0.290(79)
printNotes: i= 70-<1516 1481  35>,  	 G2 --  1/32nd.( 25) <      > 	V 23 - M 25	= -2  %-9  	q= -2  %-9  	 0.128(79)
printNotes: i= 71-<1742 1743  -1>,  	Bb2 --    1/4th(131) <1*sela> 	V151 - M131	=+20  %+13  	q=+20  %+13  	 0.871(79)
printNotes: i= 72-<1928 1962 -34>,  	 C3 --    1/8th( 66) <      > 	V 62 - M 57	= +5  %+8  	q= -4  %-6  	 0.354(79)
printNotes: i= 73-<1756 1743  13>,  	Bb2 --   1/16th( 33) <      > 	V 31 - M 33	= -2  %-6  	q= -2  %-6  	 0.174(79)
printNotes: i= 74-<1625 1608  17>,  	Ak2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(79)
