	voice Midi Diff								present		 Best		Sec

printNotes: i= 51-<2441 2427  14>,  	 A2 -- 1/32nd..( 26) <      > 	V 26 - M 29	= -3  %-12  	q=  +  %+0  	 0.145(88)<-----%12   %0

printNotes: i= 52-<2525 2512  13>,  	Bb2 --   1/16th( 29) <      > 	V 30 - M 15	=+15  %+50  	q= +1  %+3  	 0.168(88)<-----%50   %3

printNotes: i= 53-<2470 2427  43>,  	 A2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 54-<2679 2675   4>,  	 C3 --    1/4th(117) <      > 	V118 - M117	= +1  %+1  	q= +1  %+1  	 0.679(88)
printNotes: i= 55-<2499 2512 -13>,  	Bb2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(88)
printNotes: i= 56-<1603 2675 -1072>,  	 C3 --    128th(  4) <      > 	V  5 - M 15	=-10  %-200  	q= +1  %+20  	 0.023(88)<-----%200   %20 <<

printNotes: i= 57-<2511 2512  -1>,  	Bb2 --  1/32nd.( 22) <      > 	V 19 - M 29	=-10  %-53  	q= -3  %-16  	 0.104(88)<-----%53   %16

printNotes: i= 58-<2715 2675  40>,  	 C3 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 59-<2519 2512   7>,  	Bb2 --  1/16th.( 44) <      > 	V 40 - M 29	=+11  %+28  	q= -4  %-10  	 0.226(88)<-----%28   %10

printNotes: i= 60-<2665 2675 -10>,  	 C3 --   1/32nd( 15) <      > 	V 15 - M 29	=-14  %-93  	q=  +  %+0  	 0.081(88)<-----%93   %0 <<

printNotes: i= 61-<2424 2427  -3>,  	 A2 --    1/8th( 59) <      > 	V 58 - M 29	=+29  %+50  	q= -1  %-2  	 0.331(88)<-----%50   %2

printNotes: i= 62-<2494 2512 -18>,  	Bb2 --  1/64th.( 11) <      > 	V 12 - M 29	=-17  %-142  	q= +1  %+8  	 0.064(88)<-----%142   %8 <<

printNotes: i= 63-<2240 2211  29>,  	 G2 --    1/8th( 59) <      > 	V 58 - M 59	= -1  %-2  	q= -1  %-2  	 0.331(88)
printNotes: i= 64-<2469 2427  42>,  	 A2 --   1/8th.( 88) <      > 	V 88 - M 59	=+29  %+33  	q=  +  %+0  	 0.505(88)<-----%33   %0

printNotes: i= 65-<2477 2512 -35>,  	Bb2 --  1/16th.( 44) <      > 	V 37 - M 44	= -7  %-19  	q= -7  %-19  	 0.209(88)
printNotes: i= 66-<2221 2211  10>,  	 G2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(88)
printNotes: i= 67-<2428 2427   1>,  	 A2 --    half.(352) <-3*sela> 	V295 - M235	=+60  %+20  	q=-57  %-19  	 1.707(88)


silence
printNotes: i= 68-<   0   40 -40>,  	Slc --   2whole(939) <26*sela> 	V1334 - M1292	=+42  %+3  	q=+395  %+30  	 7.738(88)
printNotes: i= 69-<2110 2427 -317>,  	 A2 --   1/8th.( 88) <      > 	V 94 - M 59	=+35  %+37  	q= +6  %+6  	 0.540(88)<-----%37   %6

printNotes: i= 70-<1666 2512 -846>,  	Bb2 -- 1/16th..( 51) <      > 	V 49 - M 29	=+20  %+41  	q= -2  %-4  	 0.279(88)<-----%41   %4

printNotes: i= 71-<2466 2675 -209>,  	 C3 --    1/4th(117) <      > 	V117 - M117	=  +  %+0  	q=  +  %+0  	 0.673(88)
printNotes: i= 72-<2650 2675 -25>,  	 C3 -- 1/32nd..( 26) <      > 	V 27 - M117	=-90  %-333  	q= +1  %+4  	 0.151(88)<-- same note<-----%333   %4

printNotes: i= 73-<2675 2675    >,  	 C3 --    128th(  4) <      > 	V  1 - M 29	=-28  %-2800  	q= -3  %-300  	 0.000(88)<-- same note<-----%2800   %300 <<

printNotes: i= 74-<2675 2675    >,  	 C3 --    128th(  4) <      > 	V  1 - M 29	=-28  %-2800  	q= -3  %-300  	 0.000(88)<-- same note<-----%2800   %300 <<

printNotes: i= 75-<2673 2675  -2>,  	 C3 --   1/8th.( 88) <      > 	V 79 - M117	=-38  %-48  	q= -9  %-11  	 0.453(88)<-- same note<-----%48   %11

printNotes: i= 76-<1498 2512 -1014>,  	Bb2 --  1/16th.( 44) <      > 	V 46 - M 29	=+17  %+37  	q= +2  %+4  	 0.261(88)<-----%37   %4

printNotes: i= 77-<2642 2675 -33>,  	 C3 --    1/4th(117) <1*sela> 	V137 - M 29	=+108  %+79  	q=+20  %+15  	 0.789(88)<-----%79   %15

printNotes: i= 78-<2523 2512  11>,  	Bb2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(88)
printNotes: i= 79-<2664 2675 -11>,  	 C3 --   1/16th( 29) <      > 	V 34 - M 29	= +5  %+15  	q= +5  %+15  	 0.192(88)
printNotes: i= 80-<2566 2512  54>,  	Bb2 --   1/8th.( 88) <      > 	V 88 - M 15	=+73  %+83  	q=  +  %+0  	 0.505(88)<-----%83   %0

printNotes: i= 81-<1929 2427 -498>,  	 A2 --  1/8th..(103) <      > 	V 97 - M 29	=+68  %+70  	q= -6  %-6  	 0.557(88)<-----%70   %6



silence
