	voice Midi Diff								present		 Best		Sec

printNotes: i= 52-<2107 2420 -313>,  	 A2 --    1/8th( 57) <      > 	V 57 - M 29	=+28  %+49  	q=  +  %+0  	 0.325(90)<-----%49   %0

printNotes: i= 53-<2674 2680  -6>,  	 C3 --  1/4th..(201) <      > 	V190 - M230	=-40  %-21  	q=-11  %-6  	 1.097(90)<-----%21   %6

printNotes: i= 54-<2527 2503  24>,  	Bb2 --  1/32nd.( 22) <      > 	V 21 - M 19	= +2  %+10  	q= -1  %-5  	 0.116(90)<-----%10   %5

printNotes: i= 55-<2642 2680 -38>,  	 C3 --   1/32nd( 14) <      > 	V 14 - M 19	= -5  %-36  	q=  +  %+0  	 0.075(90)<-----%36   %0 <<

printNotes: i= 56-<2437 2420  17>,  	 A2 --   1/16th( 29) <      > 	V 34 - M 38	= -4  %-12  	q= +5  %+15  	 0.192(90)
printNotes: i= 57-<2511 2503   8>,  	Bb2 --   1/16th( 29) <      > 	V 28 - M 38	=-10  %-36  	q= -1  %-4  	 0.157(90)<-----%36   %4

printNotes: i= 58-<1737 2420 -683>,  	 A2 --    1/4th(115) <      > 	V120 - M115	= +5  %+4  	q= +5  %+4  	 0.691(90)
printNotes: i= 59-<2509 2503   6>,  	Bb2 --   1/4th.(172) <      > 	V163 - M230	=-67  %-41  	q= -9  %-6  	 0.940(90)<-----%41   %6

printNotes: i= 60-<2447 2420  27>,  	 A2 --    1/8th( 57) <      > 	V 58 - M 29	=+29  %+50  	q= +1  %+2  	 0.331(90)<-----%50   %2



silence
printNotes: i= 61-<   0   40 -40>,  	Slc --   1/4th.(172) <      > 	V179 - M201	=-22  %-12  	q= +7  %+4  	 1.033(90)<-----%12   %4

printNotes: i= 62-<2330 2503 -173>,  	Bb2 --    1/8th( 57) <      > 	V 59 - M 29	=+30  %+51  	q= +2  %+3  	 0.337(90)<-----%51   %3

printNotes: i= 63-<2487 2503 -16>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)<-- same note
printNotes: i= 64-<2668 2680 -12>,  	 C3 --   1/4th.(172) <      > 	V176 - M230	=-54  %-31  	q= +4  %+2  	 1.016(90)<-----%31   %2

printNotes: i= 65-<2498 2503  -5>,  	Bb2 --   1/32nd( 14) <      > 	V 14 - M 19	= -5  %-36  	q=  +  %+0  	 0.075(90)<-----%36   %0 <<

printNotes: i= 66-<2630 2680 -50>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 19	= -8  %-73  	q=  +  %+0  	 0.058(90)<-----%73   %0 <<

printNotes: i= 67-<2412 2420  -8>,  	 A2 --  1/16th.( 43) <      > 	V 39 - M 38	= +1  %+3  	q= -4  %-10  	 0.221(90)
printNotes: i= 68-<2510 2503   7>,  	Bb2 -- 1/32nd..( 25) <      > 	V 26 - M 38	=-12  %-46  	q= +1  %+4  	 0.145(90)<-----%46   %4

printNotes: i= 69-<2425 2420   5>,  	 A2 --    1/4th(115) <      > 	V119 - M 86	=+33  %+28  	q= +4  %+3  	 0.685(90)<-----%28   %3

printNotes: i= 70-<2500 2503  -3>,  	Bb2 --    1/8th( 57) <      > 	V 69 - M 86	=-17  %-25  	q=+12  %+17  	 0.395(90)<-----%25   %17

printNotes: i= 71-<2438 2420  18>,  	 A2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 72-<2221 2200  21>,  	 G2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(90)<-----%26   %4

printNotes: i= 73-<2087 2100 -13>,  	F#2 --   1/32nd( 14) <      > 	V 15 - M 29	=-14  %-93  	q= +1  %+7  	 0.081(90)<-----%93   %7 <<

printNotes: i= 74-<2059 2200 -141>,  	 G2 --  1/8th..(101) <      > 	V105 - M115	=-10  %-10  	q= +4  %+4  	 0.604(90)<-----%10   %4

printNotes: i= 75-<2151 2420 -269>,  	 A2 --    1/8th( 57) <      > 	V 55 - M 29	=+26  %+47  	q= -2  %-4  	 0.313(90)<-----%47   %4

printNotes: i= 76-<2482 2503 -21>,  	Bb2 --  1/16th.( 43) <      > 	V 37 - M 57	=-20  %-54  	q= -6  %-16  	 0.209(90)<-----%54   %16

printNotes: i= 77-<2431 2420  11>,  	 A2 --  1/16th.( 43) <      > 	V 42 - M 57	=-15  %-36  	q= -1  %-2  	 0.238(90)<-----%36   %2

printNotes: i= 78-<2477 2503 -26>,  	Bb2 --  1/32nd.( 22) <      > 	V 23 - M 38	=-15  %-65  	q= +1  %+4  	 0.128(90)<-----%65   %4

printNotes: i= 79-<2423 2420   3>,  	 A2 --   1/16th( 29) <      > 	V 35 - M 38	= -3  %-9  	q= +6  %+17  	 0.197(90)
printNotes: i= 80-<2481 2503 -22>,  	Bb2 --   1/16th( 29) <      > 	V 29 - M 38	= -9  %-31  	q=  +  %+0  	 0.163(90)<-----%31   %0

printNotes: i= 81-<1659 2420 -761>,  	 A2 --    1/8th( 57) <      > 	V 58 - M 29	=+29  %+50  	q= +1  %+2  	 0.331(90)<-----%50   %2

printNotes: i= 82-<2670 2680 -10>,  	 C3 -- 1/64th..( 13) <      > 	V 13 - M 14	= -1  %-8  	q=  +  %+0  	 0.070(90)
printNotes: i= 83-<2496 2503  -7>,  	Bb2 --  1/16th.( 43) <      > 	V 43 - M 14	=+29  %+67  	q=  +  %+0  	 0.244(90)<-----%67   %0

printNotes: i= 84-<2380 2420 -40>,  	 A2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(90)
printNotes: i= 85-<2222 2200  22>,  	 G2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(90)<-----%26   %4

printNotes: i= 86-<2094 2100  -6>,  	F#2 --   1/32nd( 14) <      > 	V 17 - M 29	=-12  %-71  	q= +3  %+18  	 0.093(90)<-----%71   %18

printNotes: i= 87-<2207 2200   7>,  	 G2 --  1/16th.( 43) <      > 	V 37 - M 29	= +8  %+22  	q= -6  %-16  	 0.209(90)<-----%22   %16

printNotes: i= 88-<2427 2420   7>,  	 A2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(90)<-----%21   %4

printNotes: i= 89-<2241 2200  41>,  	 G2 --     half(230) <-1*sela> 	V216 - M230	=-14  %-6  	q=-14  %-6  	 1.248(90)


silence
printNotes: i= 90-<   0   40 -40>,  	Slc --   2whole(919) <-3*sela> 	V877 - M689	=+188  %+21  	q=-42  %-5  	 5.085(90)<-----%21   %5

printNotes: i= 91-<1632 2906 -1274>,  	 D3 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(90)
printNotes: i= 92-<2651 2680 -29>,  	 C3 --  1/8th..(101) <      > 	V102 - M 57	=+45  %+44  	q= +1  %+1  	 0.586(90)<-----%44   %1

printNotes: i= 93-<2672 2680  -8>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)<-- same note
printNotes: i= 94-<2901 2906  -5>,  	 D3 --  1/4th..(201) <      > 	V190 - M230	=-40  %-21  	q=-11  %-6  	 1.097(90)<-----%21   %6

printNotes: i= 95-<2718 2680  38>,  	 C3 -- 1/16th..( 50) <      > 	V 52 - M 57	= -5  %-10  	q= +2  %+4  	 0.296(90)<-----%10   %4

printNotes: i= 96-<2545 2503  42>,  	Bb2 --  1/16th.( 43) <      > 	V 36 - M 57	=-21  %-58  	q= -7  %-19  	 0.203(90)<-----%58   %19

printNotes: i= 97-<2419 2420  -1>,  	 A2 --   1/16th( 29) <      > 	V 27 - M 57	=-30  %-111  	q= -2  %-7  	 0.151(90)<-----%111   %7

printNotes: i= 98-<2521 2503  18>,  	Bb2 --  1/16th.( 43) <      > 	V 39 - M 57	=-18  %-46  	q= -4  %-10  	 0.221(90)<-----%46   %10



silence
printNotes: i= 99-< 129   40  89>,  	Slc --  1/32nd.( 22) <      > 	V 18 - M 14	= +4  %+22  	q= -4  %-22  	 0.099(90)
printNotes: i= 100-<2661 2680 -19>,  	 C3 --     half(230) <      > 	V229 - M230	= -1  %-0  	q= -1  %-0  	 1.324(90)
printNotes: i= 101-<2495 2503  -8>,  	Bb2 --    1/8th( 57) <      > 	V 57 - M 57	=  +  %+0  	q=  +  %+0  	 0.325(90)


silence
printNotes: i= 102-<   0   40 -40>,  	Slc --  1/32nd.( 22) <      > 	V 18 - M 14	= +4  %+22  	q= -4  %-22  	 0.099(90)
printNotes: i= 103-<2688 2680   8>,  	 C3 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(90)
printNotes: i= 104-<2691 2680  11>,  	 C3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)<-- same note
printNotes: i= 105-<2902 2906  -4>,  	 D3 --    1/4th(115) <2*sela> 	V143 - M201	=-58  %-41  	q=+28  %+20  	 0.824(90)<-----%41   %20

printNotes: i= 106-<2907 2906   1>,  	 D3 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)<-- same note
printNotes: i= 107-<2677 2680  -3>,  	 C3 --  1/16th.( 43) <      > 	V 36 - M 29	= +7  %+19  	q= -7  %-19  	 0.203(90)
printNotes: i= 108-<2530 2503  27>,  	Bb2 --  1/32nd.( 22) <      > 	V 23 - M 29	= -6  %-26  	q= +1  %+4  	 0.128(90)<-----%26   %4

printNotes: i= 109-<2416 2420  -4>,  	 A2 --   1/32nd( 14) <      > 	V 14 - M 29	=-15  %-107  	q=  +  %+0  	 0.075(90)<-----%107   %0 <<

printNotes: i= 110-<2333 2503 -170>,  	Bb2 --    1/4th(115) <1*sela> 	V134 - M 29	=+105  %+78  	q=+19  %+14  	 0.772(90)<-----%78   %14



silence
printNotes: i= 111-<   0   40 -40>,  	Slc --   1/64th(  7) <      > 	V  7 - M 86	=-79  %-1129  	q=  +  %+0  	 0.035(90)<-----%1129   %0 <<

printNotes: i= 112-<2336 2503 -167>,  	Bb2 --    1/8th( 57) <      > 	V 54 - M 29	=+25  %+46  	q= -3  %-6  	 0.308(90)<-----%46   %6

printNotes: i= 113-<2696 2680  16>,  	 C3 --   1/8th.( 86) <      > 	V 84 - M115	=-31  %-37  	q= -2  %-2  	 0.482(90)<-----%37   %2

