	voice Midi Diff								present		 Best		Sec

printNotes: i= 70-< 966 2217 -1251>,  	 G2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(80)<-----%29   %7

printNotes: i= 71-<1141 2082 -941>,  	F#2 --  1/16th.( 48) <      > 	V 45 - M 32	=+13  %+29  	q= -3  %-7  	 0.255(80)<-----%29   %7

printNotes: i= 72-<2214 2217  -3>,  	 G2 --    1/8th( 64) <      > 	V 66 - M 97	=-31  %-47  	q= +2  %+3  	 0.377(80)<-----%47   %3

printNotes: i= 73-<2445 2428  17>,  	 A2 --   1/16th( 32) <      > 	V 37 - M 64	=-27  %-73  	q= +5  %+14  	 0.209(80)<-----%73   %14

printNotes: i= 74-<2226 2217   9>,  	 G2 --  1/16th.( 48) <      > 	V 41 - M 64	=-23  %-56  	q= -7  %-17  	 0.232(80)<-----%56   %17

printNotes: i= 75-<2489 2481   8>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(80)
printNotes: i= 76-<2389 2428 -39>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 32	=-16  %-100  	q=  +  %+0  	 0.087(80)<-----%100   %0 <<

printNotes: i= 77-<1095 2481 -1386>,  	Bb2 --  1/16th.( 48) <      > 	V 49 - M 16	=+33  %+67  	q= +1  %+2  	 0.279(80)<-----%67   %2

printNotes: i= 78-<2429 2428   1>,  	 A2 --  1/16th.( 48) <      > 	V 40 - M 16	=+24  %+60  	q= -8  %-20  	 0.226(80)<-----%60   %20

printNotes: i= 79-<2218 2217   1>,  	 G2 --  1/16th.( 48) <      > 	V 48 - M 32	=+16  %+33  	q=  +  %+0  	 0.273(80)<-----%33   %0

printNotes: i= 80-<2457 2428  29>,  	 A2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(80)
printNotes: i= 81-<2235 2217  18>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 82-<2106 2082  24>,  	F#2 --    1/8th( 64) <      > 	V 75 - M 97	=-22  %-29  	q=+11  %+15  	 0.430(80)<-----%29   %15

