	voice Midi Diff								present		 Best		Sec

printNotes: i= 94-<2184 2184    >,  	 G2 --    half.(344) <      > 	V331 - M344	=-13  %-4  	q=-13  %-4  	 1.916(90)


silence
printNotes: i= 95-<   0   40 -40>,  	Slc --  whole..(802) <-2*sela> 	V764 - M688	=+76  %+10  	q=-38  %-5  	 4.429(90)<-----%10   %5

printNotes: i= 96-<1036 1694 -658>,  	 D2 --   1/8th.( 86) <      > 	V 81 - M 43	=+38  %+47  	q= -5  %-6  	 0.464(90)<-----%47   %6

printNotes: i= 97-<2163 2184 -21>,  	 G2 --     half(229) <      > 	V232 - M258	=-26  %-11  	q= +3  %+1  	 1.341(90)<-----%11   %1

printNotes: i= 98-<2110 2077  33>,  	F#2 --  1/16th.( 43) <      > 	V 37 - M 29	= +8  %+22  	q= -6  %-16  	 0.209(90)<-----%22   %16

printNotes: i= 99-<2153 2184 -31>,  	 G2 --   1/4th.(172) <-1*sela> 	V149 - M 57	=+92  %+62  	q=-23  %-15  	 0.859(90)<-----%62   %15



silence
printNotes: i= 100-<   0   40 -40>,  	Slc --   1/8th.( 86) <      > 	V 80 - M115	=-35  %-44  	q= -6  %-8  	 0.459(90)<-----%44   %8

printNotes: i= 101-<2405 2419 -14>,  	 A2 -- 1/16th..( 50) <      > 	V 51 - M 57	= -6  %-12  	q= +1  %+2  	 0.290(90)<-----%12   %2

printNotes: i= 102-<2480 2484  -4>,  	Bb2 -- 1/16th..( 50) <      > 	V 49 - M 57	= -8  %-16  	q= -1  %-2  	 0.279(90)<-----%16   %2

printNotes: i= 103-<2429 2419  10>,  	 A2 --   1/16th( 29) <      > 	V 31 - M 43	=-12  %-39  	q= +2  %+6  	 0.174(90)<-----%39   %6

printNotes: i= 104-<2481 2484  -3>,  	Bb2 -- 1/32nd..( 25) <      > 	V 23 - M 29	= -6  %-26  	q= -2  %-9  	 0.128(90)<-----%26   %9

printNotes: i= 105-<2401 2419 -18>,  	 A2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 106-<2504 2484  20>,  	Bb2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(90)
printNotes: i= 107-<2423 2419   4>,  	 A2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 108-<2482 2484  -2>,  	Bb2 --  1/64th.( 11) <      > 	V 11 - M 14	= -3  %-27  	q=  +  %+0  	 0.058(90)<-----%27   %0 <<

printNotes: i= 109-<2430 2419  11>,  	 A2 -- 1/32nd..( 25) <      > 	V 24 - M 29	= -5  %-21  	q= -1  %-4  	 0.134(90)<-----%21   %4

printNotes: i= 110-<2207 2184  23>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 14	= -2  %-17  	q= +1  %+8  	 0.064(90)
printNotes: i= 111-<2290 2419 -129>,  	 A2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(90)
printNotes: i= 112-<2206 2184  22>,  	 G2 --  1/32nd.( 21) <      > 	V 21 - M 29	= -8  %-38  	q=  +  %+0  	 0.116(90)<-----%38   %0

