	voice Midi Diff								present		 Best		Sec

printNotes: i= 51-<2244 2188  56>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 31	=-17  %-121  	q=  +  %+0  	 0.075(83)<-----%121   %0 <<

printNotes: i= 52-<2070 2071  -1>,  	F#2 --  1/8th..(110) <      > 	V105 - M 94	=+11  %+10  	q= -5  %-5  	 0.604(83)<-----%10   %5

printNotes: i= 53-<2171 2188 -17>,  	 G2 --   1/8th.( 94) <      > 	V 84 - M 63	=+21  %+25  	q=-10  %-12  	 0.482(83)<-----%25   %12

printNotes: i= 54-<2092 2071  21>,  	F#2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 55-<2192 2188   4>,  	 G2 --   half..(438) <      > 	V430 - M376	=+54  %+13  	q= -8  %-2  	 2.490(83)<-----%13   %2



silence
printNotes: i= 56-<   0   40 -40>,  	Slc --    half.(376) <-2*sela> 	V336 - M250	=+86  %+26  	q=-40  %-12  	 1.945(83)<-----%26   %12

printNotes: i= 57-<1437 1694 -257>,  	 D2 -- 1/32nd..( 27) <      > 	V 26 - M 31	= -5  %-19  	q= -1  %-4  	 0.145(83)<-----%19   %4

printNotes: i= 58-<2065 2071  -6>,  	F#2 --    1/8th( 63) <      > 	V 63 - M 94	=-31  %-49  	q=  +  %+0  	 0.360(83)<-----%49   %0

printNotes: i= 59-<2265 2188  77>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 60-<2087 2071  16>,  	F#2 --  1/16th.( 47) <      > 	V 47 - M 31	=+16  %+34  	q=  +  %+0  	 0.267(83)<-----%34   %0

printNotes: i= 61-<2193 2188   5>,  	 G2 --  1/16th.( 47) <      > 	V 48 - M 94	=-46  %-96  	q= +1  %+2  	 0.273(83)<-----%96   %2

printNotes: i= 62-<2431 2405  26>,  	 A2 --   1/32nd( 16) <      > 	V 18 - M 31	=-13  %-72  	q= +2  %+11  	 0.099(83)<-----%72   %11

printNotes: i= 63-<2203 2188  15>,  	 G2 --  1/16th.( 47) <      > 	V 41 - M 31	=+10  %+24  	q= -6  %-15  	 0.232(83)<-----%24   %15

printNotes: i= 64-<2405 2405    >,  	 A2 --  1/16th.( 47) <      > 	V 47 - M 63	=-16  %-34  	q=  +  %+0  	 0.267(83)<-----%34   %0

printNotes: i= 65-<2620 2480 140>,  	Bb2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 66-<2390 2405 -15>,  	 A2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(83)
printNotes: i= 67-<2478 2480  -2>,  	Bb2 --   1/16th( 31) <      > 	V 32 - M 47	=-15  %-47  	q= +1  %+3  	 0.180(83)<-----%47   %3

printNotes: i= 68-<2483 2689 -206>,  	 C3 --   1/64th(  8) <      > 	V 10 - M 16	= -6  %-60  	q= +2  %+20  	 0.052(83)<-----%60   %20 <<

printNotes: i= 69-<2479 2480  -1>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 70-<2213 2405 -192>,  	 A2 --   1/16th( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(83)
printNotes: i= 71-<2171 2188 -17>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 31	= -9  %-41  	q= -1  %-5  	 0.122(83)<-----%41   %5

printNotes: i= 72-<2063 2071  -8>,  	F#2 --   1/32nd( 16) <      > 	V 17 - M 31	=-14  %-82  	q= +1  %+6  	 0.093(83)<-----%82   %6

printNotes: i= 73-<2207 2188  19>,  	 G2 --     half(250) <      > 	V253 - M250	= +3  %+1  	q= +3  %+1  	 1.463(83)


silence
printNotes: i= 74-<1649   40 1609>,  	Slc --    128th(  4) <      > 	V  4 - M 16	=-12  %-300  	q=  +  %+0  	 0.017(83)<-----%300   %0 <<

printNotes: i= 75-<2054 2071 -17>,  	F#2 --    1/8th( 63) <      > 	V 66 - M 94	=-28  %-42  	q= +3  %+5  	 0.377(83)<-----%42   %5

printNotes: i= 76-<2274 2188  86>,  	 G2 -- 1/64th..( 14) <      > 	V 15 - M 31	=-16  %-107  	q= +1  %+7  	 0.081(83)<-----%107   %7 <<

printNotes: i= 77-<2083 2071  12>,  	F#2 --  1/16th.( 47) <      > 	V 48 - M 31	=+17  %+35  	q= +1  %+2  	 0.273(83)<-----%35   %2

printNotes: i= 78-<2167 2188 -21>,  	 G2 --  1/16th.( 47) <      > 	V 42 - M 63	=-21  %-50  	q= -5  %-12  	 0.238(83)<-----%50   %12

printNotes: i= 79-<2435 2405  30>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 80-<2212 2188  24>,  	 G2 --  1/16th.( 47) <      > 	V 40 - M 31	= +9  %+22  	q= -7  %-18  	 0.226(83)<-----%22   %18

printNotes: i= 81-<2383 2405 -22>,  	 A2 --  1/16th.( 47) <      > 	V 44 - M 63	=-19  %-43  	q= -3  %-7  	 0.250(83)<-----%43   %7

printNotes: i= 82-<2420 2480 -60>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(83)
printNotes: i= 83-<2402 2405  -3>,  	 A2 --   1/16th( 31) <      > 	V 36 - M 31	= +5  %+14  	q= +5  %+14  	 0.203(83)
printNotes: i= 84-<2464 2480 -16>,  	Bb2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)
printNotes: i= 85-<2121 2689 -568>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M 16	= -7  %-78  	q= -3  %-33  	 0.046(83)<-----%78   %33 <<

printNotes: i= 86-<2466 2480 -14>,  	Bb2 -- 1/32nd..( 27) <      > 	V 26 - M 16	=+10  %+38  	q= -1  %-4  	 0.145(83)<-----%38   %4

printNotes: i= 87-<2318 2405 -87>,  	 A2 --   1/16th( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(83)
