	voice Midi Diff								present		 Best		Sec

printNotes: i= 102-<2021 2079 -58>,  	Bb2 --  1/32nd.( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(71)
printNotes: i= 103-<2303 2307  -4>,  	 C3 --  1/16th.( 55) <      > 	V 49 - M 55	= -6  %-12  	q= -6  %-12  	 0.279(71)
printNotes: i= 104-<2536 2707 -171>,  	 E3 --  1/64th.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(71)
printNotes: i= 105-<2080 1992  88>,  	 A2 --  1/64th.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(71)
printNotes: i= 106-<2104 2079  25>,  	Bb2 --   1/16th( 36) <      > 	V 38 - M 36	= +2  %+5  	q= +2  %+5  	 0.215(71)
printNotes: i= 107-<2311 2307   4>,  	 C3 --  1/16th.( 55) <      > 	V 50 - M 55	= -5  %-10  	q= -5  %-10  	 0.284(71)
printNotes: i= 108-<2517 2707 -190>,  	 E3 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)


silence
printNotes: i= 109-<   0   40 -40>,  	Slc --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 110-<2094 2079  15>,  	Bb2 --     half(291) <      > 	V297 - M291	= +6  %+2  	q= +6  %+2  	 1.718(71)
printNotes: i= 111-<1652 2307 -655>,  	 C3 --  1/16th.( 55) <      > 	V 53 - M 55	= -2  %-4  	q= -2  %-4  	 0.302(71)
printNotes: i= 112-<2082 2079   3>,  	Bb2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 113-<2196 2307 -111>,  	 C3 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(71)
printNotes: i= 114-<2086 2079   7>,  	Bb2 --    128th(  5) <      > 	V  4 - M  5	= -1  %-25  	q= -1  %-25  	 0.017(71)
printNotes: i= 115-<2004 1992  12>,  	 A2 --     half(291) <      > 	V298 - M291	= +7  %+2  	q= +7  %+2  	 1.724(71)


silence
printNotes: i= 116-<   0   40 -40>,  	Slc -- 1/16th..( 64) <      > 	V 65 - M 64	= +1  %+2  	q= +1  %+2  	 0.372(71)
printNotes: i= 117-<1509 1399 110>,  	Eb2 --    128th(  5) <      > 	V  6 - M  5	= +1  %+17  	q= +1  %+17  	 0.029(71)
printNotes: i= 118-<1768 1799 -31>,  	 G2 --   1/8th.(109) <      > 	V 93 - M109	=-16  %-17  	q=-16  %-17  	 0.534(71)
printNotes: i= 119-<1963 1992 -29>,  	 A2 --  1/32nd.( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(71)
printNotes: i= 120-<1505 2079 -574>,  	Bb2 --   1/16th( 36) <      > 	V 37 - M 36	= +1  %+3  	q= +1  %+3  	 0.209(71)
printNotes: i= 121-< 844 2179 -1335>,  	 B2 --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(71)
printNotes: i= 122-<1998 1992   6>,  	 A2 --   1/16th( 36) <      > 	V 41 - M 36	= +5  %+12  	q= +5  %+12  	 0.232(71)
printNotes: i= 123-<2059 2079 -20>,  	Bb2 --  1/16th.( 55) <      > 	V 48 - M 55	= -7  %-15  	q= -7  %-15  	 0.273(71)
printNotes: i= 124-<2100 2307 -207>,  	 C3 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
printNotes: i= 125-<1999 1992   7>,  	 A2 --  1/16th.( 55) <      > 	V 47 - M 55	= -8  %-17  	q= -8  %-17  	 0.267(71)
printNotes: i= 126-<2072 2079  -7>,  	Bb2 -- 1/16th..( 64) <      > 	V 61 - M 64	= -3  %-5  	q= -3  %-5  	 0.348(71)
printNotes: i= 127-<2230 2307 -77>,  	 C3 --  1/64th.( 14) <      > 	V 12 - M 14	= -2  %-17  	q= -2  %-17  	 0.064(71)
printNotes: i= 128-<2007 1992  15>,  	 A2 --  1/8th..(127) <      > 	V118 - M127	= -9  %-8  	q= -9  %-8  	 0.679(71)
printNotes: i= 129-<2291 2307 -16>,  	 C3 --  1/64th.( 14) <      > 	V 13 - M 14	= -1  %-8  	q= -1  %-8  	 0.070(71)
