	voice Midi Diff								present		 Best		Sec

printNotes: i= 56-<1128 2219 -1091>,  	 B2 -- 1/64th..( 11) <      > 	V 12 - M 10	= +2  %+17  	q= +1  %+8  	 0.064(100)
printNotes: i= 57-<2005 2119 -114>,  	Bb2 --  1/16th.( 39) <      > 	V 35 - M 39	= -4  %-11  	q= -4  %-11  	 0.197(100)
printNotes: i= 58-<1010 2219 -1209>,  	 B2 -- 1/64th..( 11) <      > 	V 11 - M 10	= +1  %+9  	q=  +  %+0  	 0.058(100)
printNotes: i= 59-<1954 2119 -165>,  	Bb2 --  1/16th.( 39) <      > 	V 37 - M 39	= -2  %-5  	q= -2  %-5  	 0.209(100)


silence
printNotes: i= 60-<   0   40 -40>,  	Slc --   1/16th( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(100)
printNotes: i= 61-<1426 1319 107>,  	 D2 --   1/16th( 26) <      > 	V 28 - M 26	= +2  %+7  	q= +2  %+7  	 0.157(100)
printNotes: i= 62-<1898 1975 -77>,  	Ak2 --   1/16th( 26) <      > 	V 31 - M 26	= +5  %+16  	q= +5  %+16  	 0.174(100)
printNotes: i= 63-<1836 1845  -9>,  	 G2 --    1/4th(103) <      > 	V101 - M103	= -2  %-2  	q= -2  %-2  	 0.580(100)
printNotes: i= 64-< 393 1975 -1582>,  	Ak2 --   1/32nd( 13) <      > 	V 15 - M 13	= +2  %+13  	q= +2  %+13  	 0.081(100)
printNotes: i= 65-<1837 1845  -8>,  	 G2 --    1/4th(103) <      > 	V102 - M103	= -1  %-1  	q= -1  %-1  	 0.586(100)
printNotes: i= 66-<2053 2119 -66>,  	Bb2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(100)
printNotes: i= 67-<1838 1845  -7>,  	 G2 --    1/4th(103) <      > 	V 97 - M 90	= +7  %+7  	q= -6  %-6  	 0.557(100)
printNotes: i= 68-<1958 1975 -17>,  	Ak2 --  1/8th..( 90) <      > 	V 87 - M 90	= -3  %-3  	q= -3  %-3  	 0.499(100)
printNotes: i= 69-<1849 1845   4>,  	 G2 --   1/32nd( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(100)
