	voice Midi Diff								present		 Best		Sec

printNotes: i= 87-< 127   40  87>,  	Slc --  1/4th..(197) <      > 	V202 - M203	= -1  %-0  	q= +5  %+2  	 1.167(92)
printNotes: i= 88-<2172 2096  76>,  	Bb2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 89-<2756 2808 -52>,  	 F3 --   1/8th.( 84) <      > 	V 84 - M 84	=  +  %+0  	q=  +  %+0  	 0.482(92)
printNotes: i= 90-<2810 2808   2>,  	 F3 --   1/8th.( 84) <      > 	V 78 - M 84	= -6  %-8  	q= -6  %-8  	 0.447(92)<-- same note
printNotes: i= 91-<2838 3026 -188>,  	 G3 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 92-<2831 2808  23>,  	 F3 -- 1/16th..( 49) <      > 	V 49 - M 49	=  +  %+0  	q=  +  %+0  	 0.279(92)
printNotes: i= 93-<2702 2706  -4>,  	 E3 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(92)
printNotes: i= 94-<2796 2808 -12>,  	 F3 -- 1/64th..( 12) <      > 	V 13 - M 11	= +2  %+15  	q= +1  %+8  	 0.070(92)


silence
printNotes: i= 95-<   0   40 -40>,  	Slc --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 96-<2304 2324 -20>,  	 C3 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(92)
printNotes: i= 97-<2440 2440    >,  	Dk3 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 98-<2786 2808 -22>,  	 F3 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 99-<2684 2706 -22>,  	 E3 --  1/16th.( 42) <      > 	V 45 - M 42	= +3  %+7  	q= +3  %+7  	 0.255(92)
printNotes: i= 100-<2792 2808 -16>,  	 F3 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(92)
printNotes: i= 101-<2719 2706  13>,  	 E3 --  1/4th..(197) <      > 	V184 - M169	=+15  %+8  	q=-13  %-7  	 1.062(92)


silence
printNotes: i= 102-<   0   40 -40>,  	Slc --    1/4th(113) <      > 	V118 - M113	= +5  %+4  	q= +5  %+4  	 0.679(92)
printNotes: i= 103-<1738 1597 141>,  	 F2 --  1/16th.( 42) <      > 	V 36 - M 42	= -6  %-17  	q= -6  %-17  	 0.203(92)
printNotes: i= 104-<2299 2324 -25>,  	 C3 --   1/4th.(169) <      > 	V158 - M169	=-11  %-7  	q=-11  %-7  	 0.911(92)
