	voice Midi Diff								present		 Best		Sec

printNotes: i= 60-<2023 2014   9>,  	 A2 --   1/8th.( 95) <      > 	V 82 - M 95	=-13  %-16  	q=-13  %-16  	 0.470(81)
printNotes: i= 61-<1848 1820  28>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 62-<1995 2014 -19>,  	 A2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 63-<1856 1820  36>,  	 G2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 64-<1889 2014 -125>,  	 A2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(81)
printNotes: i= 65-<1789 1820 -31>,  	 G2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 66-<1617 1604  13>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 67-<1816 1820  -4>,  	 G2 --  1/4th..(223) <      > 	V230 - M223	= +7  %+3  	q= +7  %+3  	 1.329(81)
printNotes: i= 68-<1966 2014 -48>,  	 A2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(81)
printNotes: i= 69-<1833 1820  13>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)


silence
printNotes: i= 70-<   0   40 -40>,  	Slc --    half.(381) <-3*sela> 	V324 - M388	=-64  %-20  	q=-57  %-18  	 1.875(81)
printNotes: i= 71-<1784 1820 -36>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 72-<1982 2014 -32>,  	 A2 --  1/16th.( 48) <      > 	V 45 - M 48	= -3  %-7  	q= -3  %-7  	 0.255(81)
printNotes: i= 73-<2103 2113 -10>,  	Bb2 --    1/4th(127) <      > 	V123 - M127	= -4  %-3  	q= -4  %-3  	 0.708(81)
printNotes: i= 74-<2021 2014   7>,  	 A2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)
printNotes: i= 75-<1171 2113 -942>,  	Bb2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i= 76-<1848 1820  28>,  	 G2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 77-<2088 2113 -25>,  	Bb2 --   1/4th.(191) <-1*sela> 	V171 - M191	=-20  %-12  	q=-20  %-12  	 0.987(81)
printNotes: i= 78-<2017 2014   3>,  	 A2 --   1/16th( 32) <      > 	V 38 - M 32	= +6  %+16  	q= +6  %+16  	 0.215(81)


silence
printNotes: i= 79-<   0   40 -40>,  	Slc --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 80-<2208 2324 -116>,  	 C3 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)
printNotes: i= 81-<2082 2014  68>,  	 A2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 82-<2278 2324 -46>,  	 C3 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 83-<2106 2014  92>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 84-<2202 2513 -311>,  	 D3 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 85-<1761 2113 -352>,  	Bb2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 86-<2035 2014  21>,  	 A2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 87-<2085 2113 -28>,  	Bb2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i= 88-<2021 2014   7>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 89-<2170 2213 -43>,  	 B2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(81)
printNotes: i= 90-<2010 2014  -4>,  	 A2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)
printNotes: i= 91-<1923 2113 -190>,  	Bb2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)


silence
printNotes: i= 92-<   0   40 -40>,  	Slc --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 93-<2018 2014   4>,  	 A2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 94-<1871 1820  51>,  	 G2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 95-<2084 2113 -29>,  	Bb2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 96-<2012 2014  -2>,  	 A2 --    1/4th(127) <1*sela> 	V148 - M127	=+21  %+14  	q=+21  %+14  	 0.853(81)


silence
printNotes: i= 97-<   0   40 -40>,  	Slc --    1/4th(127) <      > 	V137 - M134	= +3  %+2  	q=+10  %+7  	 0.789(81)
printNotes: i= 98-<1501 1304 197>,  	 D2 --  1/32nd.( 24) <      > 	V 20 - M 24	= -4  %-20  	q= -4  %-20  	 0.110(81)
printNotes: i= 99-<1999 2014 -15>,  	 A2 --    1/4th(127) <      > 	V134 - M127	= +7  %+5  	q= +7  %+5  	 0.772(81)
printNotes: i= 100-<1746 1820 -74>,  	 G2 --    1/8th( 64) <      > 	V 63 - M 64	= -1  %-2  	q= -1  %-2  	 0.360(81)
printNotes: i= 101-<1958 2014 -56>,  	 A2 --  1/16th.( 48) <      > 	V 41 - M 48	= -7  %-17  	q= -7  %-17  	 0.232(81)
printNotes: i= 102-<2106 2113  -7>,  	Bb2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 103-< 855 2014 -1159>,  	 A2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(81)
printNotes: i= 104-<1685 2113 -428>,  	Bb2 --  1/32nd.( 24) <      > 	V 20 - M 16	= +4  %+20  	q= -4  %-20  	 0.110(81)
printNotes: i= 105-<2025 2014  11>,  	 A2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 106-<1813 1820  -7>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 107-<2007 2014  -7>,  	 A2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(81)
printNotes: i= 108-<1809 1820 -11>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)
printNotes: i= 109-<1984 2014 -30>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)


silence
printNotes: i= 110-<1833   40 1793>,  	Slc --    128th(  4) <      > 	V  3 - M  4	= -1  %-33  	q= -1  %-33  	 0.012(81)
printNotes: i= 111-<1712 1820 -108>,  	 G2 --    1/8th( 64) <      > 	V 64 - M 64	=  +  %+0  	q=  +  %+0  	 0.366(81)
printNotes: i= 112-<1635 1604  31>,  	 F2 --    128th(  4) <      > 	V  5 - M  6	= -1  %-20  	q= +1  %+20  	 0.023(81)


silence
printNotes: i= 113-<   0   40 -40>,  	Slc --    1/4th(127) <      > 	V135 - M127	= +8  %+6  	q= +8  %+6  	 0.778(81)
printNotes: i= 114-<1811 1820  -9>,  	 G2 --  1/8th..(111) <      > 	V107 - M111	= -4  %-4  	q= -4  %-4  	 0.615(81)
printNotes: i= 115-<2055 2113 -58>,  	Bb2 --   1/16th( 32) <      > 	V 34 - M 32	= +2  %+6  	q= +2  %+6  	 0.192(81)
printNotes: i= 116-<1907 2014 -107>,  	 A2 --   1/32nd( 16) <      > 	V 19 - M 16	= +3  %+16  	q= +3  %+16  	 0.104(81)
printNotes: i= 117-< 742 2324 -1582>,  	 C3 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 118-<1995 2014 -19>,  	 A2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
