	voice Midi Diff								present		 Best		Sec

printNotes: i= 54-<1281 2694 -1413>,  	 A2 --  1/32nd.( 23) <      > 	V 21 - M 15	= +6  %+29  	q= -2  %-10  	 0.116(84)<-----%29   %10

printNotes: i= 55-<1905 2494 -589>,  	 G2 -- 1/32nd..( 27) <      > 	V 25 - M 31	= -6  %-24  	q= -2  %-8  	 0.139(84)<-----%24   %8



silence
printNotes: i= 56-<   0   40 -40>,  	Slc --  1/8th..(108) <      > 	V105 - M246	=-141  %-134  	q= -3  %-3  	 0.604(84)<-----%134   %3

printNotes: i= 57-<2174 2294 -120>,  	 F2 -- 1/32nd..( 27) <      > 	V 27 - M 31	= -4  %-15  	q=  +  %+0  	 0.151(84)<-----%15   %0

printNotes: i= 58-<2493 2494  -1>,  	 G2 --    1/4th(123) <      > 	V134 - M123	=+11  %+8  	q=+11  %+8  	 0.772(84)
printNotes: i= 59-<2250 2294 -44>,  	 F2 --   1/8th.( 92) <-1*sela> 	V 77 - M 62	=+15  %+19  	q=-15  %-19  	 0.441(84)
printNotes: i= 60-< 519 2175 -1656>,  	 E2 -- 1/16th..( 54) <      > 	V 50 - M 31	=+19  %+38  	q= -4  %-8  	 0.284(84)<-----%38   %8

printNotes: i= 61-<2491 2494  -3>,  	 G2 --    1/4th(123) <      > 	V125 - M123	= +2  %+2  	q= +2  %+2  	 0.720(84)
printNotes: i= 62-<2286 2294  -8>,  	 F2 --  1/32nd.( 23) <      > 	V 23 - M 62	=-39  %-170  	q=  +  %+0  	 0.128(84)<-----%170   %0

printNotes: i= 63-<2285 2294  -9>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 62	=-48  %-343  	q= +1  %+7  	 0.075(84)<-- same note<-----%343   %7 <<

printNotes: i= 64-<1280 2494 -1214>,  	 G2 --  1/8th..(108) <      > 	V111 - M 31	=+80  %+72  	q= +3  %+3  	 0.639(84)<-----%72   %3

printNotes: i= 65-<2641 2642  -1>,  	Ak2 --     half(246) <      > 	V237 - M267	=-30  %-13  	q= -9  %-4  	 1.370(84)<-----%13   %4

printNotes: i= 66-<2471 2494 -23>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 20	= -2  %-11  	q= +3  %+17  	 0.099(84)
printNotes: i= 67-<2515 2642 -127>,  	Ak2 --   1/16th( 31) <      > 	V 35 - M 21	=+14  %+40  	q= +4  %+11  	 0.197(84)<-----%40   %11

printNotes: i= 68-<2520 2494  26>,  	 G2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 69-<2664 2642  22>,  	Ak2 --  1/64th.( 12) <      > 	V 11 - M 15	= -4  %-36  	q= -1  %-9  	 0.058(84)<-----%36   %9 <<

printNotes: i= 70-<2512 2494  18>,  	 G2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(84)
