	voice Midi Diff								present		 Best		Sec

printNotes: i= 56-<2002 2410 -408>,  	Bk2 --    1/8th( 72) <      > 	V 70 - M 72	= -2  %-3  	q= -2  %-3  	 0.401(71)
printNotes: i= 57-<2530 2560 -30>,  	 C3 --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(71)
printNotes: i= 58-<2539 2560 -21>,  	 C3 --  1/64th.( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(71)<-- same note
printNotes: i= 59-<2476 2410  66>,  	Bk2 --    128th(  5) <      > 	V  4 - M  5	= -1  %-25  	q= -1  %-25  	 0.017(71)
printNotes: i= 60-<2553 2560  -7>,  	 C3 --    1/4th(145) <      > 	V160 - M145	=+15  %+9  	q=+15  %+9  	 0.923(71)
printNotes: i= 61-<2430 2410  20>,  	Bk2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i= 62-<2544 2560 -16>,  	 C3 -- 1/32nd..( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(71)
printNotes: i= 63-<2394 2410 -16>,  	Bk2 -- 1/64th..( 16) <      > 	V 17 - M 18	= -1  %-6  	q= +1  %+6  	 0.093(71)
printNotes: i= 64-<2603 2560  43>,  	 C3 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 65-<2386 2410 -24>,  	Bk2 --  1/16th.( 54) <      > 	V 55 - M 54	= +1  %+2  	q= +1  %+2  	 0.313(71)
printNotes: i= 66-<2221 2192  29>,  	Ak2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 67-<2360 2410 -50>,  	Bk2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 68-<2209 2192  17>,  	Ak2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(71)
printNotes: i= 69-<2360 2410 -50>,  	Bk2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 70-<2238 2192  46>,  	Ak2 --  1/32nd.( 27) <      > 	V 23 - M 27	= -4  %-17  	q= -4  %-17  	 0.128(71)
printNotes: i= 71-<2089 2078  11>,  	 G2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(71)
printNotes: i= 72-<2165 2192 -27>,  	Ak2 --   128th.(  7) <      > 	V  7 - M  8	= -1  %-14  	q=  +  %+0  	 0.035(71)
printNotes: i= 73-<2073 2078  -5>,  	 G2 -- 1/64th..( 16) <      > 	V 16 - M 18	= -2  %-12  	q=  +  %+0  	 0.087(71)
printNotes: i= 74-<2195 2192   3>,  	Ak2 --    1/4th(145) <      > 	V150 - M145	= +5  %+3  	q= +5  %+3  	 0.865(71)
printNotes: i= 75-<2109 2078  31>,  	 G2 -- 1/32nd..( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(71)


silence
printNotes: i= 76-<   0   40 -40>,  	Slc --    whole(579) <4*sela> 	V655 - M587	=+68  %+10  	q=+76  %+12  	 3.796(71)
printNotes: i= 77-<1721 1702  19>,  	Ek2 --  1/32nd.( 27) <      > 	V 25 - M 27	= -2  %-8  	q= -2  %-8  	 0.139(71)
printNotes: i= 78-<1949 2410 -461>,  	Bk2 --  1/16th.( 54) <      > 	V 52 - M 54	= -2  %-4  	q= -2  %-4  	 0.296(71)
printNotes: i= 79-<2528 2560 -32>,  	 C3 --   1/16th( 36) <      > 	V 36 - M 36	=  +  %+0  	q=  +  %+0  	 0.203(71)
printNotes: i= 80-<2807 2787  20>,  	 D3 --    1/4th(145) <      > 	V142 - M145	= -3  %-2  	q= -3  %-2  	 0.819(71)
printNotes: i= 81-<2568 2560   8>,  	 C3 --  1/16th.( 54) <      > 	V 47 - M 54	= -7  %-15  	q= -7  %-15  	 0.267(71)
printNotes: i= 82-<2376 2560 -184>,  	 C3 --    1/8th( 72) <      > 	V 72 - M 72	=  +  %+0  	q=  +  %+0  	 0.412(71)<-- same note
printNotes: i= 83-<2394 2410 -16>,  	Bk2 --  1/64th.( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(71)
printNotes: i= 84-<2301 2560 -259>,  	 C3 --    1/8th( 72) <      > 	V 70 - M 72	= -2  %-3  	q= -2  %-3  	 0.401(71)
printNotes: i= 85-<2338 2937 -599>,  	Ek3 --  1/64th.( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(71)
printNotes: i= 86-<2396 2560 -164>,  	 C3 -- 1/32nd..( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(71)


silence
printNotes: i= 87-<   0   40 -40>,  	Slc --   1/4th.(217) <      > 	V212 - M224	=-12  %-6  	q= -5  %-2  	 1.225(71)
printNotes: i= 88-<1828 1734  94>,  	 E2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 89-<2351 2358  -7>,  	Bb2 --  1/16th.( 54) <      > 	V 45 - M 54	= -9  %-20  	q= -9  %-20  	 0.255(71)
printNotes: i= 90-<2126 2787 -661>,  	 D3 --   1/32nd( 18) <      > 	V 21 - M 18	= +3  %+14  	q= +3  %+14  	 0.116(71)
printNotes: i= 91-<1784 2358 -574>,  	Bb2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(71)
printNotes: i= 92-<2566 2560   6>,  	 C3 --    1/4th(145) <      > 	V154 - M145	= +9  %+6  	q= +9  %+6  	 0.888(71)
printNotes: i= 93-<2030 2410 -380>,  	Bk2 --   1/16th( 36) <      > 	V 44 - M 36	= +8  %+18  	q= +8  %+18  	 0.250(71)
