	voice Midi Diff								present		 Best		Sec

printNotes: i= 147-<2588 2577  11>,  	 C3 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 148-<2234 2227   7>,  	Ak2 --    1/8th( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(92)
printNotes: i= 149-<2044 2099 -55>,  	 G2 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(92)
printNotes: i= 150-<1822 2577 -755>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 151-<2375 2385 -10>,  	Bb2 --  1/4th..(196) <      > 	V189 - M196	= -7  %-4  	q= -7  %-4  	 1.091(92)
printNotes: i= 152-<2221 2227  -6>,  	Ak2 --   1/8th.( 84) <      > 	V 90 - M 84	= +6  %+7  	q= +6  %+7  	 0.517(92)
printNotes: i= 153-<2113 2099  14>,  	 G2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 154-<2356 2385 -29>,  	Bb2 --  128th..(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(92)
printNotes: i= 155-<2230 2227   3>,  	Ak2 --  1/16th.( 42) <      > 	V 38 - M 42	= -4  %-11  	q= -4  %-11  	 0.215(92)
printNotes: i= 156-<1508 2577 -1069>,  	 C3 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 157-<1849 2227 -378>,  	Ak2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)


silence
printNotes: i= 158-<   0   40 -40>,  	Slc --  1/4th..(196) <-1*sela> 	V182 - M174	= +8  %+4  	q=-14  %-8  	 1.051(92)
printNotes: i= 159-<1544 1392 152>,  	 C2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 160-<2157 2227 -70>,  	Ak2 --    1/8th( 56) <      > 	V 61 - M 56	= +5  %+8  	q= +5  %+8  	 0.348(92)
printNotes: i= 161-<2096 2099  -3>,  	 G2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 162-<2216 2227 -11>,  	Ak2 --  1/16th.( 42) <      > 	V 44 - M 42	= +2  %+5  	q= +2  %+5  	 0.250(92)
printNotes: i= 163-<2382 2385  -3>,  	Bb2 --   1/8th.( 84) <      > 	V 71 - M 84	=-13  %-18  	q=-13  %-18  	 0.406(92)
printNotes: i= 164-<2220 2227  -7>,  	Ak2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 165-<1440 2385 -945>,  	Bb2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 166-<2225 2227  -2>,  	Ak2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 167-<2019 2385 -366>,  	Bb2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 168-<2085 2099 -14>,  	 G2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 169-<2228 2227   1>,  	Ak2 --  1/16th.( 42) <      > 	V 44 - M 42	= +2  %+5  	q= +2  %+5  	 0.250(92)
printNotes: i= 170-<2389 2385   4>,  	Bb2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 171-<2244 2227  17>,  	Ak2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 172-<1791 2577 -786>,  	 C3 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 173-<2215 2227 -12>,  	Ak2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)
printNotes: i= 174-<2110 2099  11>,  	 G2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 175-<2344 2385 -41>,  	Bb2 --    128th(  3) <      > 	V  4 - M  5	= -1  %-25  	q= +1  %+25  	 0.017(92)
printNotes: i= 176-<2235 2227   8>,  	Ak2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
