	voice Midi Diff								present		 Best		Sec

printNotes: i= 56-<1834 1835  -1>,  	 F2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(89)
printNotes: i= 57-<2048 2083 -35>,  	 G2 -- 1/16th..( 51) <      > 	V 53 - M 51	= +2  %+4  	q= +2  %+4  	 0.302(89)
printNotes: i= 58-<2161 2207 -46>,  	Ak2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(89)
printNotes: i= 59-<2113 2083  30>,  	 G2 -- 1/16th..( 51) <      > 	V 47 - M 43	= +4  %+9  	q= -4  %-9  	 0.267(89)
printNotes: i= 60-<2331 2382 -51>,  	Bb2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(89)
printNotes: i= 61-<2079 2083  -4>,  	 G2 --    1/8th( 58) <      > 	V 58 - M 58	=  +  %+0  	q=  +  %+0  	 0.331(89)
printNotes: i= 62-<2202 2207  -5>,  	Ak2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(89)
printNotes: i= 63-<2084 2083   1>,  	 G2 --     half(231) <      > 	V220 - M231	=-11  %-5  	q=-11  %-5  	 1.271(89)
printNotes: i= 64-<1818 1835 -17>,  	 F2 --   1/16th( 29) <      > 	V 28 - M 29	= -1  %-4  	q= -1  %-4  	 0.157(89)
printNotes: i= 65-<1716 1704  12>,  	Ek2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(89)
printNotes: i= 66-<1832 1835  -3>,  	 F2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(89)
printNotes: i= 67-<2086 2083   3>,  	 G2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 68-<1860 1835  25>,  	 F2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(89)
printNotes: i= 69-<1952 2083 -131>,  	 G2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(89)
printNotes: i= 70-<1844 1835   9>,  	 F2 --   1/16th( 29) <      > 	V 27 - M 29	= -2  %-7  	q= -2  %-7  	 0.151(89)
printNotes: i= 71-<1696 1704  -8>,  	Ek2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 72-<1776 1835 -59>,  	 F2 -- 1/64th..( 13) <      > 	V 13 - M 14	= -1  %-8  	q=  +  %+0  	 0.070(89)
printNotes: i= 73-<1679 1704 -25>,  	Ek2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)
printNotes: i= 74-<1646 1554  92>,  	 D2 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 75-<1727 1704  23>,  	Ek2 --    1/8th( 58) <      > 	V 56 - M 58	= -2  %-4  	q= -2  %-4  	 0.319(89)
printNotes: i= 76-<2109 2207 -98>,  	Ak2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(89)


silence
printNotes: i= 77-<   0   40 -40>,  	Slc --     half(231) <      > 	V229 - M231	= -2  %-1  	q= -2  %-1  	 1.324(89)
printNotes: i= 78-<1716 1554 162>,  	 D2 --   1/64th(  7) <      > 	V  9 - M 11	= -2  %-22  	q= +2  %+22  	 0.046(89)
printNotes: i= 79-<2052 2083 -31>,  	 G2 --   1/8th.( 87) <      > 	V 76 - M 87	=-11  %-14  	q=-11  %-14  	 0.435(89)
printNotes: i= 80-<2170 2207 -37>,  	Ak2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(89)
printNotes: i= 81-<2086 2083   3>,  	 G2 --  1/16th.( 43) <      > 	V 45 - M 43	= +2  %+4  	q= +2  %+4  	 0.255(89)
