	voice Midi Diff								present		 Best		Sec

printNotes: i= 84-<1751 1744   7>,  	Ek2 --   1/16th( 32) <      > 	V 37 - M 32	= +5  %+14  	q= +5  %+14  	 0.209(81)
printNotes: i= 85-<1915 1878  37>,  	 F2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 86-<1749 1744   5>,  	Ek2 --  1/16th.( 48) <      > 	V 51 - M 48	= +3  %+6  	q= +3  %+6  	 0.290(81)
printNotes: i= 87-<1648 1610  38>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 88-<1874 1878  -4>,  	 F2 --   1/4th.(192) <-1*sela> 	V171 - M192	=-21  %-12  	q=-21  %-12  	 0.987(81)
printNotes: i= 89-<1745 1744   1>,  	Ek2 --   1/8th.( 96) <      > 	V 83 - M 96	=-13  %-16  	q=-13  %-16  	 0.476(81)
printNotes: i= 90-<1665 1610  55>,  	 D2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 91-<1755 1744  11>,  	Ek2 --   1/4th.(192) <-1*sela> 	V166 - M192	=-26  %-16  	q=-26  %-16  	 0.958(81)
printNotes: i= 92-<2002 2104 -102>,  	 G2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(81)


silence
printNotes: i= 93-<   0   40 -40>,  	Slc --  whole..(897) <      > 	V897 - M1025	=-128  %-14  	q=  +  %+0  	 5.201(81)<-----%14   %0

printNotes: i= 94-<1609 1610  -1>,  	 D2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 95-<1288 1878 -590>,  	 F2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)
printNotes: i= 96-<1861 2104 -243>,  	 G2 --    half.(384) <      > 	V384 - M384	=  +  %+0  	q=  +  %+0  	 2.223(81)
printNotes: i= 97-<2105 2104   1>,  	 G2 --  1/8th..(112) <      > 	V105 - M112	= -7  %-7  	q= -7  %-7  	 0.604(81)<-- same note
printNotes: i= 98-<2075 2104 -29>,  	 G2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(81)<-- same note
printNotes: i= 99-<1861 1878 -17>,  	 F2 --  1/8th..(112) <      > 	V110 - M112	= -2  %-2  	q= -2  %-2  	 0.633(81)
printNotes: i= 100-<1778 1744  34>,  	Ek2 -- 1/16th..( 56) <      > 	V 55 - M 56	= -1  %-2  	q= -1  %-2  	 0.313(81)
printNotes: i= 101-<2085 2104 -19>,  	 G2 --   1/32nd( 16) <      > 	V 18 - M 16	= +2  %+11  	q= +2  %+11  	 0.099(81)
printNotes: i= 102-<1681 1878 -197>,  	 F2 --   1/16th( 32) <      > 	V 36 - M 32	= +4  %+11  	q= +4  %+11  	 0.203(81)
printNotes: i= 103-<2085 2104 -19>,  	 G2 --    1/4th(128) <      > 	V129 - M128	= +1  %+1  	q= +1  %+1  	 0.743(81)
printNotes: i= 104-<1720 2104 -384>,  	 G2 --   1/8th.( 96) <      > 	V 96 - M 96	=  +  %+0  	q=  +  %+0  	 0.551(81)<-- same note
printNotes: i= 105-<1795 1878 -83>,  	 F2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(81)
printNotes: i= 106-<2270 2391 -121>,  	Bb2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 107-<2125 2104  21>,  	 G2 --  1/64th.( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(81)
printNotes: i= 108-<2176 2241 -65>,  	Ak2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 109-<1003 2104 -1101>,  	 G2 -- 1/16th..( 56) <      > 	V 54 - M 56	= -2  %-4  	q= -2  %-4  	 0.308(81)
printNotes: i= 110-<1892 1878  14>,  	 F2 --    half.(384) <-3*sela> 	V322 - M384	=-62  %-19  	q=-62  %-19  	 1.863(81)
printNotes: i= 111-<1754 1744  10>,  	Ek2 --  1/8th..(112) <      > 	V113 - M112	= +1  %+1  	q= +1  %+1  	 0.650(81)
printNotes: i= 112-<1611 1610   1>,  	 D2 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(81)
printNotes: i= 113-<1783 1744  39>,  	Ek2 -- 1/16th..( 56) <      > 	V 59 - M 56	= +3  %+5  	q= +3  %+5  	 0.337(81)
printNotes: i= 114-<1498 2241 -743>,  	Ak2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 115-<1599 1744 -145>,  	Ek2 --   1/16th( 32) <      > 	V 33 - M 32	= +1  %+3  	q= +1  %+3  	 0.186(81)


silence
printNotes: i= 116-<   0   40 -40>,  	Slc --    whole(512) <1*sela> 	V538 - M519	=+19  %+4  	q=+26  %+5  	 3.117(81)
printNotes: i= 117-<1696 1610  86>,  	 D2 --  1/64th.( 12) <      > 	V  9 - M 12	= -3  %-33  	q= -3  %-33  	 0.046(81)
printNotes: i= 118-<2263 2391 -128>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 119-<1610 2104 -494>,  	 G2 --    1/8th( 64) <      > 	V 73 - M 64	= +9  %+12  	q= +9  %+12  	 0.418(81)
printNotes: i= 120-<2088 1878 210>,  	 F2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(81)
printNotes: i= 121-<2289 2491 -202>,  	 B2 -- 1/64th..( 14) <      > 	V 15 - M 16	= -1  %-7  	q= +1  %+7  	 0.081(81)
printNotes: i= 122-<2143 2104  39>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 123-<2229 2241 -12>,  	Ak2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 124-<2096 2104  -8>,  	 G2 --    1/4th(128) <1*sela> 	V145 - M128	=+17  %+12  	q=+17  %+12  	 0.836(81)
printNotes: i= 125-<2221 2241 -20>,  	Ak2 -- 1/32nd..( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(81)
printNotes: i= 126-<2116 2104  12>,  	 G2 --  1/16th.( 48) <      > 	V 40 - M 32	= +8  %+20  	q= -8  %-20  	 0.226(81)
printNotes: i= 127-<2219 2241 -22>,  	Ak2 -- 1/32nd..( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(81)
printNotes: i= 128-<2019 2104 -85>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)
printNotes: i= 129-<1890 1878  12>,  	 F2 --   1/8th.( 96) <      > 	V 96 - M 96	=  +  %+0  	q=  +  %+0  	 0.551(81)
printNotes: i= 130-<1751 1744   7>,  	Ek2 -- 1/16th..( 56) <      > 	V 53 - M 56	= -3  %-6  	q= -3  %-6  	 0.302(81)
printNotes: i= 131-<2039 2104 -65>,  	 G2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(81)
printNotes: i= 132-<1746 1744   2>,  	Ek2 -- 1/32nd..( 28) <      > 	V 26 - M 24	= +2  %+8  	q= -2  %-8  	 0.145(81)


silence
printNotes: i= 133-<   0   40 -40>,  	Slc --   1/4th.(192) <-1*sela> 	V164 - M199	=-35  %-21  	q=-28  %-17  	 0.946(81)<-----%21   %17

printNotes: i= 134-<1640 1610  30>,  	 D2 -- 1/64th..( 14) <      > 	V 14 - M 16	= -2  %-14  	q=  +  %+0  	 0.075(81)
printNotes: i= 135-<2032 2104 -72>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 136-<1873 1878  -5>,  	 F2 --    1/8th( 64) <      > 	V 63 - M 64	= -1  %-2  	q= -1  %-2  	 0.360(81)
printNotes: i= 137-<2098 2104  -6>,  	 G2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(81)
printNotes: i= 138-< 986 1878 -892>,  	 F2 -- 1/16th..( 56) <      > 	V 52 - M 56	= -4  %-8  	q= -4  %-8  	 0.296(81)
printNotes: i= 139-<1913 2104 -191>,  	 G2 --    1/8th( 64) <      > 	V 78 - M 64	=+14  %+18  	q=+14  %+18  	 0.447(81)
printNotes: i= 140-<1880 1878   2>,  	 F2 --    1/4th(128) <      > 	V141 - M128	=+13  %+9  	q=+13  %+9  	 0.813(81)
printNotes: i= 141-<1811 2104 -293>,  	 G2 --  1/8th..(112) <      > 	V114 - M112	= +2  %+2  	q= +2  %+2  	 0.656(81)
printNotes: i= 142-<1909 1878  31>,  	 F2 --   1/16th( 32) <      > 	V 31 - M 32	= -1  %-3  	q= -1  %-3  	 0.174(81)
printNotes: i= 143-<2279 2391 -112>,  	Bb2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(81)
printNotes: i= 144-<2118 2104  14>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)
printNotes: i= 145-<2322 2391 -69>,  	Bb2 --  1/64th.( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(81)
printNotes: i= 146-<2098 2104  -6>,  	 G2 --   1/16th( 32) <      > 	V 39 - M 32	= +7  %+18  	q= +7  %+18  	 0.221(81)
printNotes: i= 147-<1880 1878   2>,  	 F2 --  1/16th.( 48) <      > 	V 44 - M 48	= -4  %-9  	q= -4  %-9  	 0.250(81)
