	voice Midi Diff								present		 Best		Sec

printNotes: i= 89-<2398 2369  29>,  	Bb2 --   1/32nd( 18) <      > 	V 18 - M 18	=  +  %+0  	q=  +  %+0  	 0.099(73)
printNotes: i= 90-<2216 2219  -3>,  	Ak2 -- 1/32nd..( 31) <      > 	V 29 - M 31	= -2  %-7  	q= -2  %-7  	 0.163(73)
printNotes: i= 91-<2096 2097  -1>,  	 G2 --   1/32nd( 18) <      > 	V 19 - M 18	= +1  %+5  	q= +1  %+5  	 0.104(73)
printNotes: i= 92-<2219 2219    >,  	Ak2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 93-<2095 2097  -2>,  	 G2 -- 1/32nd..( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(73)
printNotes: i= 94-<2186 2219 -33>,  	Ak2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(73)
printNotes: i= 95-<1875 1871   4>,  	 F2 --   1/16th( 35) <      > 	V 41 - M 35	= +6  %+15  	q= +6  %+15  	 0.232(73)
printNotes: i= 96-<2108 2097  11>,  	 G2 --   1/32nd( 18) <      > 	V 17 - M 18	= -1  %-6  	q= -1  %-6  	 0.093(73)
printNotes: i= 97-<1880 1871   9>,  	 F2 --    1/8th( 71) <      > 	V 77 - M 71	= +6  %+8  	q= +6  %+8  	 0.441(73)
printNotes: i= 98-<2032 2097 -65>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(73)
printNotes: i= 99-<1766 1747  19>,  	Ek2 --  1/16th.( 53) <      > 	V 46 - M 53	= -7  %-15  	q= -7  %-15  	 0.261(73)
printNotes: i= 100-<1958 2097 -139>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(73)
printNotes: i= 101-<1732 1747 -15>,  	Ek2 -- 1/16th..( 62) <      > 	V 66 - M 71	= -5  %-8  	q= +4  %+6  	 0.377(73)
printNotes: i= 102-<1872 1871   1>,  	 F2 --     half(283) <      > 	V278 - M283	= -5  %-2  	q= -5  %-2  	 1.608(73)
printNotes: i= 103-<1772 1747  25>,  	Ek2 --  1/16th.( 53) <      > 	V 52 - M 53	= -1  %-2  	q= -1  %-2  	 0.296(73)
printNotes: i= 104-<2035 2097 -62>,  	 G2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(73)
printNotes: i= 105-<1772 1747  25>,  	Ek2 -- 1/32nd..( 31) <      > 	V 30 - M 31	= -1  %-3  	q= -1  %-3  	 0.168(73)


silence
printNotes: i= 106-<   0   40 -40>,  	Slc --   1/4th.(212) <      > 	V200 - M219	=-19  %-10  	q=-12  %-6  	 1.155(73)<-----%10   %6

printNotes: i= 107-<1173 1097  76>,  	 A1 -- 1/64th..( 15) <      > 	V 15 - M 13	= +2  %+13  	q=  +  %+0  	 0.081(73)
printNotes: i= 108-<1646 1697 -51>,  	Eb2 --   1/16th( 35) <      > 	V 43 - M 35	= +8  %+19  	q= +8  %+19  	 0.244(73)
printNotes: i= 109-<1624 1597  27>,  	 D2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(73)
printNotes: i= 110-<1748 1747   1>,  	Ek2 --   1/16th( 35) <      > 	V 35 - M 35	=  +  %+0  	q=  +  %+0  	 0.197(73)
