	voice Midi Diff								present		 Best		Sec

printNotes: i= 87-<2132 2150 -18>,  	 E2 --  1/16th.( 44) <      > 	V 40 - M 44	= -4  %-10  	q= -4  %-10  	 0.226(87)
printNotes: i= 88-<2257 2266  -9>,  	 F2 --  1/16th.( 44) <      > 	V 41 - M 44	= -3  %-7  	q= -3  %-7  	 0.232(87)
printNotes: i= 89-<2374 2366   8>,  	F#2 --   1/64th(  7) <      > 	V  9 - M  7	= +2  %+22  	q= +2  %+22  	 0.046(87)
printNotes: i= 90-<2256 2266 -10>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(87)
printNotes: i= 91-<2138 2150 -12>,  	 E2 --  1/32nd.( 22) <      > 	V 19 - M 22	= -3  %-16  	q= -3  %-16  	 0.104(87)
printNotes: i= 92-<2232 2266 -34>,  	 F2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)
printNotes: i= 93-<2141 2150  -9>,  	 E2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(87)
printNotes: i= 94-<2364 2366  -2>,  	F#2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(87)
printNotes: i= 95-<2134 2150 -16>,  	 E2 --    1/8th( 59) <      > 	V 61 - M 59	= +2  %+3  	q= +2  %+3  	 0.348(87)
printNotes: i= 96-<2255 2266 -11>,  	 F2 -- 1/32nd..( 26) <      > 	V 24 - M 26	= -2  %-8  	q= -2  %-8  	 0.134(87)
printNotes: i= 97-<2100 2150 -50>,  	 E2 -- 1/16th..( 52) <      > 	V 48 - M 44	= +4  %+8  	q= -4  %-8  	 0.273(87)
printNotes: i= 98-<1927 1924   3>,  	Dk2 --  1/32nd.( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(87)
printNotes: i= 99-<2157 2150   7>,  	 E2 --   1/16th( 30) <      > 	V 36 - M 30	= +6  %+17  	q= +6  %+17  	 0.203(87)
printNotes: i= 100-<2297 2366 -69>,  	F#2 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(87)
printNotes: i= 101-<1971 1924  47>,  	Dk2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i= 102-<2111 2150 -39>,  	 E2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(87)
printNotes: i= 103-<1928 1924   4>,  	Dk2 --  1/16th.( 44) <      > 	V 38 - M 44	= -6  %-16  	q= -6  %-16  	 0.215(87)
printNotes: i= 104-<2142 2150  -8>,  	 E2 --    1/8th( 59) <      > 	V 64 - M 59	= +5  %+8  	q= +5  %+8  	 0.366(87)
printNotes: i= 105-<2246 2266 -20>,  	 F2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(87)
printNotes: i= 106-<2149 2150  -1>,  	 E2 --    1/4th(118) <      > 	V129 - M118	=+11  %+9  	q=+11  %+9  	 0.743(87)
printNotes: i= 107-<2271 2266   5>,  	 F2 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(87)
printNotes: i= 108-<2155 2150   5>,  	 E2 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(87)
printNotes: i= 109-<2307 2366 -59>,  	F#2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(87)
printNotes: i= 110-<1918 1924  -6>,  	Dk2 --     half(237) <2*sela> 	V270 - M237	=+33  %+12  	q=+33  %+12  	 1.562(87)
printNotes: i= 111-<1820 1784  36>,  	 C2 --  1/16th.( 44) <      > 	V 46 - M 44	= +2  %+4  	q= +2  %+4  	 0.261(87)
printNotes: i= 112-<2248 2266 -18>,  	 F2 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(87)
printNotes: i= 113-<1368 1784 -416>,  	 C2 -- 1/32nd..( 26) <      > 	V 25 - M 26	= -1  %-4  	q= -1  %-4  	 0.139(87)


silence
printNotes: i= 114-<   0   40 -40>,  	Slc --   whole.(710) <3*sela> 	V760 - M716	=+44  %+6  	q=+50  %+7  	 4.406(87)
printNotes: i= 115-<1227 1784 -557>,  	 C2 --  1/16th.( 44) <      > 	V 46 - M 44	= +2  %+4  	q= +2  %+4  	 0.261(87)
printNotes: i= 116-<1922 1924  -2>,  	Dk2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(87)
printNotes: i= 117-<2149 2150  -1>,  	 E2 --    1/8th( 59) <      > 	V 60 - M 59	= +1  %+2  	q= +1  %+2  	 0.342(87)
printNotes: i= 118-<2157 2150   7>,  	 E2 --   1/8th.( 89) <      > 	V 89 - M 89	=  +  %+0  	q=  +  %+0  	 0.511(87)<-- same note
printNotes: i= 119-<2305 2366 -61>,  	F#2 --  1/32nd.( 22) <      > 	V 22 - M 22	=  +  %+0  	q=  +  %+0  	 0.122(87)
printNotes: i= 120-<1030 1924 -894>,  	Dk2 --    1/8th( 59) <      > 	V 68 - M 59	= +9  %+13  	q= +9  %+13  	 0.389(87)
printNotes: i= 121-<2213 2266 -53>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(87)
printNotes: i= 122-<1688 2150 -462>,  	 E2 --   1/4th.(178) <      > 	V169 - M178	= -9  %-5  	q= -9  %-5  	 0.975(87)


silence
printNotes: i= 123-<   0   40 -40>,  	Slc --    1/4th(118) <1*sela> 	V139 - M118	=+21  %+15  	q=+21  %+15  	 0.801(87)
printNotes: i= 124-<1489 1442  47>,  	Ak1 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(87)
printNotes: i= 125-<1472 1784 -312>,  	 C2 --  1/16th.( 44) <      > 	V 43 - M 44	= -1  %-2  	q= -1  %-2  	 0.244(87)
