	voice Midi Diff								present		 Best		Sec

printNotes: i= 63-<2389 2461 -72>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(75)
printNotes: i= 64-<2252 2261  -9>,  	 F2 --   1/16th( 34) <      > 	V 32 - M 30	= +2  %+6  	q= -2  %-6  	 0.180(75)
printNotes: i= 65-<2117 2145 -28>,  	 E2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(75)
printNotes: i= 66-<2295 2361 -66>,  	F#2 --  1/64th.( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(75)
printNotes: i= 67-<1896 1898  -2>,  	Dk2 --  1/16th.( 52) <      > 	V 51 - M 52	= -1  %-2  	q= -1  %-2  	 0.290(75)
printNotes: i= 68-<2083 2145 -62>,  	 E2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(75)
printNotes: i= 69-<1782 1761  21>,  	 C2 --    1/8th( 69) <      > 	V 74 - M 69	= +5  %+7  	q= +5  %+7  	 0.424(75)
printNotes: i= 70-<1657 1670 -13>,  	 B1 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)
printNotes: i= 71-<1899 1898   1>,  	Dk2 --     half(275) <      > 	V266 - M275	= -9  %-3  	q= -9  %-3  	 1.538(75)
printNotes: i= 72-<1794 1761  33>,  	 C2 --  1/16th.( 52) <      > 	V 43 - M 34	= +9  %+21  	q= -9  %-21  	 0.244(75)
printNotes: i= 73-<1399 2145 -746>,  	 E2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(75)
printNotes: i= 74-<1666 1761 -95>,  	 C2 -- 1/32nd..( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(75)


silence
printNotes: i= 75-<   0   40 -40>,  	Slc --  1/8th..(120) <      > 	V112 - M103	= +9  %+8  	q= -8  %-7  	 0.644(75)
printNotes: i= 76-<1377 1275 102>,  	 G1 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(75)
printNotes: i= 77-<1850 1898 -48>,  	Dk2 -- 1/16th..( 60) <      > 	V 62 - M 60	= +2  %+3  	q= +2  %+3  	 0.354(75)
printNotes: i= 78-<1745 1761 -16>,  	 C2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(75)
printNotes: i= 79-<1888 1898 -10>,  	Dk2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)
printNotes: i= 80-<1687 1670  17>,  	 B1 --    1/4th(138) <      > 	V137 - M138	= -1  %-1  	q= -1  %-1  	 0.789(75)
printNotes: i= 81-<1700 1670  30>,  	 B1 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(75)<-- same note
printNotes: i= 82-<1881 1898 -17>,  	Dk2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)
printNotes: i= 83-<1760 1761  -1>,  	 C2 --    1/4th(138) <      > 	V154 - M138	=+16  %+10  	q=+16  %+10  	 0.888(75)


silence
printNotes: i= 84-<   0   40 -40>,  	Slc --    1/8th( 69) <      > 	V 68 - M110	=-42  %-62  	q= -1  %-1  	 0.389(75)<-----%62   %1

printNotes: i= 85-<1238 1075 163>,  	 F1 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(75)
printNotes: i= 86-<1834 1898 -64>,  	Dk2 --    1/8th( 69) <      > 	V 66 - M 69	= -3  %-5  	q= -3  %-5  	 0.377(75)
printNotes: i= 87-<1768 1761   7>,  	 C2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(75)
printNotes: i= 88-<1869 1898 -29>,  	Dk2 --   1/32nd( 17) <      > 	V 19 - M 17	= +2  %+11  	q= +2  %+11  	 0.104(75)
printNotes: i= 89-<1678 1670   8>,  	 B1 --  1/8th..(120) <      > 	V123 - M120	= +3  %+2  	q= +3  %+2  	 0.708(75)
printNotes: i= 90-<1752 1761  -9>,  	 C2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(75)
printNotes: i= 91-<1899 1898   1>,  	Dk2 -- 1/64th..( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(75)
printNotes: i= 92-<1760 1761  -1>,  	 C2 --  1/8th..(120) <      > 	V127 - M120	= +7  %+6  	q= +7  %+6  	 0.731(75)
printNotes: i= 93-<1897 1898  -1>,  	Dk2 --    1/4th(138) <      > 	V151 - M138	=+13  %+9  	q=+13  %+9  	 0.871(75)
printNotes: i= 94-<2149 2145   4>,  	 E2 --  1/8th..(120) <      > 	V122 - M120	= +2  %+2  	q= +2  %+2  	 0.702(75)
printNotes: i= 95-<2220 2261 -41>,  	 F2 --   1/64th(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(75)
printNotes: i= 96-<2053 2145 -92>,  	 E2 --  1/32nd.( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(75)
printNotes: i= 97-<1867 1898 -31>,  	Dk2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(75)
printNotes: i= 98-<1877 1898 -21>,  	Dk2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(75)<-- same note
printNotes: i= 99-<1895 1898  -3>,  	Dk2 -- 1/32nd..( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(75)<-- same note
printNotes: i= 100-<1760 1761  -1>,  	 C2 --   1/32nd( 17) <      > 	V 18 - M 17	= +1  %+6  	q= +1  %+6  	 0.099(75)
printNotes: i= 101-<1844 1898 -54>,  	Dk2 --  128th..(  8) <      > 	V  8 - M  9	= -1  %-12  	q=  +  %+0  	 0.041(75)
printNotes: i= 102-<1788 1761  27>,  	 C2 --  1/32nd.( 26) <      > 	V 26 - M 26	=  +  %+0  	q=  +  %+0  	 0.145(75)
printNotes: i= 103-<1895 1898  -3>,  	Dk2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(75)
printNotes: i= 104-<1750 1761 -11>,  	 C2 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(75)
printNotes: i= 105-<1668 1670  -2>,  	 B1 --  1/32nd.( 26) <      > 	V 22 - M 26	= -4  %-18  	q= -4  %-18  	 0.122(75)
