	voice Midi Diff								present		 Best		Sec

printNotes: i= 137-<2501 2496   5>,  	 G2 -- 1/16th..( 43) <      > 	V 44 - M 43	= +1  %+2  	q= +1  %+2  	 0.250(105)
printNotes: i= 138-<2410 2389  21>,  	F#2 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(105)
printNotes: i= 139-<2505 2496   9>,  	 G2 --     half(198) <      > 	V206 - M198	= +8  %+4  	q= +8  %+4  	 1.190(105)


silence
printNotes: i= 140-< 156   40 116>,  	Slc --  1/32nd.( 19) <      > 	V 16 - M 99	=-83  %-519  	q= -3  %-19  	 0.087(105)<-----%519   %19 <<

printNotes: i= 141-<1924 2165 -241>,  	Ek2 --  1/64th.(  9) <      > 	V 10 - M  9	= +1  %+10  	q= +1  %+10  	 0.052(105)
printNotes: i= 142-< 991 2389 -1398>,  	F#2 --   1/16th( 25) <      > 	V 29 - M 25	= +4  %+14  	q= +4  %+14  	 0.163(105)
printNotes: i= 143-<   0 2496 -2496>,  	 G2 --  1/64th.(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(105)
printNotes: i= 144-<2483 2496 -13>,  	 G2 --    128th(  3) <      > 	V  3 - M  3	=  +  %+0  	q=  +  %+0  	 0.012(105)<-- same note
printNotes: i= 145-<2452 2496 -44>,  	 G2 --   1/32nd( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(105)<-- same note
printNotes: i= 146-<2377 2389 -12>,  	F#2 -- 1/64th..( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(105)
printNotes: i= 147-<1994 2496 -502>,  	 G2 --   1/4th.(148) <      > 	V151 - M148	= +3  %+2  	q= +3  %+2  	 0.871(105)
printNotes: i= 148-<2393 2389   4>,  	F#2 --  1/16th.( 37) <      > 	V 39 - M 37	= +2  %+5  	q= +2  %+5  	 0.221(105)
printNotes: i= 149-<2281 2189  92>,  	 E2 --  1/32nd.( 19) <      > 	V 19 - M 19	=  +  %+0  	q=  +  %+0  	 0.104(105)
printNotes: i= 150-<2581 2622 -41>,  	Ak2 --   1/16th( 25) <      > 	V 28 - M 25	= +3  %+11  	q= +3  %+11  	 0.157(105)
printNotes: i= 151-<2597 2622 -25>,  	Ak2 --   1/32nd( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(105)<-- same note
printNotes: i= 152-<2429 2389  40>,  	F#2 --  128th..(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(105)
printNotes: i= 153-<2499 2496   3>,  	 G2 --   1/4th.(148) <      > 	V141 - M148	= -7  %-5  	q= -7  %-5  	 0.813(105)


silence
printNotes: i= 154-<   0   40 -40>,  	Slc --  1/32nd.( 19) <      > 	V 19 - M104	=-85  %-447  	q=  +  %+0  	 0.104(105)<-----%447   %0

printNotes: i= 155-<1641 1465 176>,  	Ak1 --   1/32nd( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(105)
printNotes: i= 156-<2400 2496 -96>,  	 G2 -- 1/32nd..( 22) <      > 	V 21 - M 22	= -1  %-5  	q= -1  %-5  	 0.116(105)
printNotes: i= 157-<2390 2389   1>,  	F#2 --   1/32nd( 12) <      > 	V 14 - M 12	= +2  %+14  	q= +2  %+14  	 0.075(105)
printNotes: i= 158-<2517 2496  21>,  	 G2 --   1/16th( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(105)
printNotes: i= 159-<2640 2622  18>,  	Ak2 --   1/16th( 25) <      > 	V 30 - M 25	= +5  %+17  	q= +5  %+17  	 0.168(105)
printNotes: i= 160-<2814 2845 -31>,  	 B2 --   1/32nd( 12) <      > 	V 15 - M 12	= +3  %+20  	q= +3  %+20  	 0.081(105)
printNotes: i= 161-<2505 2496   9>,  	 G2 --    1/4th( 99) <      > 	V101 - M 99	= +2  %+2  	q= +2  %+2  	 0.580(105)
