	voice Midi Diff								present		 Best		Sec

printNotes: i= 61-<2473 2494 -21>,  	 G2 --   1/4th.(168) <-1*sela> 	V149 - M168	=-19  %-13  	q=-19  %-13  	 0.859(92)
printNotes: i= 62-<1926 2181 -255>,  	 E2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(92)
printNotes: i= 63-<2290 2294  -4>,  	 F2 --    1/8th( 56) <      > 	V 67 - M 56	=+11  %+16  	q=+11  %+16  	 0.383(92)
printNotes: i= 64-< 549 2181 -1632>,  	 E2 -- 1/16th..( 49) <      > 	V 51 - M 49	= +2  %+4  	q= +2  %+4  	 0.290(92)
printNotes: i= 65-<2490 2494  -4>,  	 G2 --    1/4th(112) <      > 	V124 - M112	=+12  %+10  	q=+12  %+10  	 0.714(92)
printNotes: i= 66-<2286 2294  -8>,  	 F2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(92)
printNotes: i= 67-<2283 2294 -11>,  	 F2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)<-- same note
printNotes: i= 68-<1279 2494 -1215>,  	 G2 --    1/4th(112) <      > 	V111 - M112	= -1  %-1  	q= -1  %-1  	 0.639(92)
printNotes: i= 69-<2641 2642  -1>,  	Ak2 --     half(224) <1*sela> 	V238 - M224	=+14  %+6  	q=+14  %+6  	 1.376(92)
printNotes: i= 70-<2465 2494 -29>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 71-<2656 2642  14>,  	Ak2 --   1/16th( 28) <      > 	V 30 - M 28	= +2  %+7  	q= +2  %+7  	 0.168(92)
printNotes: i= 72-<1706 2874 -1168>,  	 B2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(92)
printNotes: i= 73-<2520 2494  26>,  	 G2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 74-<2664 2642  22>,  	Ak2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 75-<2512 2494  18>,  	 G2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 76-<2409 2642 -233>,  	Ak2 --  1/64th.( 10) <      > 	V  9 - M 10	= -1  %-11  	q= -1  %-11  	 0.046(92)
printNotes: i= 77-<2483 2494 -11>,  	 G2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 78-<1974 2642 -668>,  	Ak2 --  1/64th.( 10) <      > 	V  8 - M  7	= +1  %+12  	q= -2  %-25  	 0.041(92)
printNotes: i= 79-<2288 2294  -6>,  	 F2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 80-<2490 2494  -4>,  	 G2 --  128th..(  6) <      > 	V  6 - M  5	= +1  %+17  	q=  +  %+0  	 0.029(92)
printNotes: i= 81-<2289 2294  -5>,  	 F2 --  1/32nd.( 21) <      > 	V 20 - M 21	= -1  %-5  	q= -1  %-5  	 0.110(92)
printNotes: i= 82-<2431 2494 -63>,  	 G2 --    128th(  3) <      > 	V  4 - M  3	= +1  %+25  	q= +1  %+25  	 0.017(92)
printNotes: i= 83-<2306 2294  12>,  	 F2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)
printNotes: i= 84-<2179 2181  -2>,  	 E2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 85-<2323 2294  29>,  	 F2 --   128th.(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(92)
printNotes: i= 86-<2177 2181  -4>,  	 E2 --  1/32nd.( 21) <      > 	V 18 - M 21	= -3  %-17  	q= -3  %-17  	 0.099(92)
printNotes: i= 87-<2297 2294   3>,  	 F2 --   1/4th.(168) <-1*sela> 	V148 - M168	=-20  %-14  	q=-20  %-14  	 0.853(92)
printNotes: i= 88-<2196 2181  15>,  	 E2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)


silence
printNotes: i= 89-<   0   40 -40>,  	Slc --  whole..(783) <-2*sela> 	V752 - M676	=+76  %+10  	q=-31  %-4  	 4.360(92)<-----%10   %4

printNotes: i= 90-<1897 1793 104>,  	 C2 --  1/64th.( 10) <      > 	V  8 - M 10	= -2  %-25  	q= -2  %-25  	 0.041(92)
printNotes: i= 91-<1548 2494 -946>,  	 G2 --    1/8th( 56) <      > 	V 57 - M 56	= +1  %+2  	q= +1  %+2  	 0.325(92)
printNotes: i= 92-<2648 2642   6>,  	Ak2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 93-<1291 2494 -1203>,  	 G2 --  1/16th.( 42) <      > 	V 44 - M 42	= +2  %+5  	q= +2  %+5  	 0.250(92)
printNotes: i= 94-<2879 2874   5>,  	 B2 --   1/4th.(168) <      > 	V174 - M168	= +6  %+3  	q= +6  %+3  	 1.004(92)
printNotes: i= 95-<2640 2642  -2>,  	Ak2 -- 1/32nd..( 24) <      > 	V 23 - M 24	= -1  %-4  	q= -1  %-4  	 0.128(92)
printNotes: i= 96-<1843 2294 -451>,  	 F2 -- 1/64th..( 12) <      > 	V 13 - M 14	= -1  %-8  	q= +1  %+8  	 0.070(92)
printNotes: i= 97-<2627 2642 -15>,  	Ak2 --    half.(335) <      > 	V330 - M335	= -5  %-2  	q= -5  %-2  	 1.910(92)


silence
printNotes: i= 98-<   0   40 -40>,  	Slc --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 99-<1543 1459  84>,  	Ak1 --  1/32nd.( 21) <      > 	V 22 - M 21	= +1  %+5  	q= +1  %+5  	 0.122(92)
printNotes: i= 100-<2305 2494 -189>,  	 G2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)


silence
printNotes: i= 101-<   0   40 -40>,  	Slc --  1/16th.( 42) <      > 	V 35 - M117	=-82  %-234  	q= -7  %-20  	 0.197(92)<-----%234   %20

printNotes: i= 102-<2656 2642  14>,  	Ak2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 103-<2877 2874   3>,  	 B2 --   1/4th.(168) <-1*sela> 	V147 - M168	=-21  %-14  	q=-21  %-14  	 0.848(92)
printNotes: i= 104-<2641 2642  -1>,  	Ak2 --   1/16th( 28) <      > 	V 32 - M 28	= +4  %+12  	q= +4  %+12  	 0.180(92)
printNotes: i= 105-<1469 2181 -712>,  	 E2 --  1/16th.( 42) <      > 	V 35 - M 28	= +7  %+20  	q= -7  %-20  	 0.197(92)
printNotes: i= 106-<2624 2642 -18>,  	Ak2 --    1/4th(112) <      > 	V122 - M112	=+10  %+8  	q=+10  %+8  	 0.702(92)
printNotes: i= 107-<2113 2494 -381>,  	 G2 --    1/4th(112) <      > 	V107 - M112	= -5  %-5  	q= -5  %-5  	 0.615(92)
printNotes: i= 108-<1855 2642 -787>,  	Ak2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)
printNotes: i= 109-<1101 2494 -1393>,  	 G2 --   1/16th( 28) <      > 	V 32 - M 28	= +4  %+12  	q= +4  %+12  	 0.180(92)
printNotes: i= 110-<2872 2874  -2>,  	 B2 --   1/4th.(168) <-1*sela> 	V152 - M168	=-16  %-11  	q=-16  %-11  	 0.877(92)
printNotes: i= 111-<2647 2642   5>,  	Ak2 --   1/8th.( 84) <      > 	V 79 - M 84	= -5  %-6  	q= -5  %-6  	 0.453(92)
printNotes: i= 112-<2879 2874   5>,  	 B2 --  1/16th.( 42) <      > 	V 39 - M 42	= -3  %-8  	q= -3  %-8  	 0.221(92)
printNotes: i= 113-<2478 2642 -164>,  	Ak2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 114-<2863 2874 -11>,  	 B2 --   1/32nd( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(92)
printNotes: i= 115-<2651 2642   9>,  	Ak2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 116-<2595 2874 -279>,  	 B2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 117-<2593 2642 -49>,  	Ak2 --   1/16th( 28) <      > 	V 27 - M 28	= -1  %-4  	q= -1  %-4  	 0.151(92)
printNotes: i= 118-<2487 2494  -7>,  	 G2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 119-<2671 2642  29>,  	Ak2 -- 1/64th..( 12) <      > 	V 13 - M 12	= +1  %+8  	q= +1  %+8  	 0.070(92)
printNotes: i= 120-<2466 2494 -28>,  	 G2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(92)
printNotes: i= 121-<2449 2642 -193>,  	Ak2 --  1/64th.( 10) <      > 	V 11 - M 10	= +1  %+9  	q= +1  %+9  	 0.058(92)
printNotes: i= 122-<2514 2494  20>,  	 G2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 123-<2307 2294  13>,  	 F2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 124-<2442 2494 -52>,  	 G2 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 125-<2290 2294  -4>,  	 F2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 126-<2468 2494 -26>,  	 G2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 127-<2296 2294   2>,  	 F2 --  1/32nd.( 21) <      > 	V 19 - M 21	= -2  %-11  	q= -2  %-11  	 0.104(92)
printNotes: i= 128-<2603 2642 -39>,  	Ak2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(92)
printNotes: i= 129-<2466 2494 -28>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 130-<2267 2642 -375>,  	Ak2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 131-<2524 2494  30>,  	 G2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(92)
printNotes: i= 132-<2517 2874 -357>,  	 B2 --  1/64th.( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(92)
printNotes: i= 133-<2644 2642   2>,  	Ak2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 134-<2701 2874 -173>,  	 B2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(92)
printNotes: i= 135-<2517 2494  23>,  	 G2 -- 1/32nd..( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(92)
printNotes: i= 136-<2634 2642  -8>,  	Ak2 --   1/16th( 28) <      > 	V 29 - M 28	= +1  %+3  	q= +1  %+3  	 0.163(92)
printNotes: i= 137-<2495 2494   1>,  	 G2 --  1/4th..(196) <      > 	V205 - M196	= +9  %+4  	q= +9  %+4  	 1.184(92)
printNotes: i= 138-<2578 2642 -64>,  	Ak2 --  1/16th.( 42) <      > 	V 43 - M 42	= +1  %+2  	q= +1  %+2  	 0.244(92)
printNotes: i= 139-<2947 2974 -27>,  	 C3 --  1/32nd.( 21) <      > 	V 21 - M 21	=  +  %+0  	q=  +  %+0  	 0.116(92)


silence
printNotes: i= 140-<   0   40 -40>,  	Slc --    half.(335) <      > 	V329 - M228	=+101  %+31  	q= -6  %-2  	 1.904(92)<-----%31   %2

printNotes: i= 141-<1748 1694  54>,  	 B1 -- 1/64th..( 12) <      > 	V 12 - M 12	=  +  %+0  	q=  +  %+0  	 0.064(92)
printNotes: i= 142-<2247 2294 -47>,  	 F2 --  1/16th.( 42) <      > 	V 41 - M 42	= -1  %-2  	q= -1  %-2  	 0.232(92)
printNotes: i= 143-<2223 2181  42>,  	 E2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(92)
printNotes: i= 144-<2445 2494 -49>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)
printNotes: i= 145-<2474 2494 -20>,  	 G2 --   1/16th( 28) <      > 	V 28 - M 28	=  +  %+0  	q=  +  %+0  	 0.157(92)<-- same note
