	voice Midi Diff								present		 Best		Sec

printNotes: i= 93-<2043 2031  12>,  	 D2 --    1/4th(123) <1*sela> 	V149 - M123	=+26  %+17  	q=+26  %+17  	 0.859(84)
printNotes: i= 94-<2258 2314 -56>,  	 F2 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(84)
printNotes: i= 95-<2068 2031  37>,  	 D2 -- 1/32nd..( 27) <      > 	V 28 - M 27	= +1  %+4  	q= +1  %+4  	 0.157(84)
printNotes: i= 96-<2170 2168   2>,  	Ek2 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(84)


silence
printNotes: i= 97-<   0   40 -40>,  	Slc --    1/8th( 62) <      > 	V 75 - M 68	= +7  %+9  	q=+13  %+17  	 0.430(84)
printNotes: i= 98-<1184 1116  68>,  	 F1 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(84)
printNotes: i= 99-<1762 1818 -56>,  	 C2 --    1/8th( 62) <      > 	V 71 - M 62	= +9  %+13  	q= +9  %+13  	 0.406(84)
printNotes: i= 100-<1670 1654  16>,  	Bk1 -- 1/16th..( 54) <      > 	V 51 - M 54	= -3  %-6  	q= -3  %-6  	 0.290(84)
printNotes: i= 101-<1543 1534   9>,  	 A1 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(84)
printNotes: i= 102-<1651 1654  -3>,  	Bk1 --    1/4th(123) <      > 	V135 - M123	=+12  %+9  	q=+12  %+9  	 0.778(84)
printNotes: i= 103-<1561 1534  27>,  	 A1 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 104-<1809 1818  -9>,  	 C2 --   1/4th.(185) <      > 	V191 - M185	= +6  %+3  	q= +6  %+3  	 1.103(84)
printNotes: i= 105-<2128 2168 -40>,  	Ek2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
printNotes: i= 106-<2012 2031 -19>,  	 D2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(84)
printNotes: i= 107-<2169 2168   1>,  	Ek2 --   1/32nd( 15) <      > 	V 17 - M 15	= +2  %+12  	q= +2  %+12  	 0.093(84)
