	voice Midi Diff								present		 Best		Sec

printNotes: i= 84-<2676 2701 -25>,  	Ak2 --   1/16th( 29) <      > 	V 35 - M 29	= +6  %+17  	q= +6  %+17  	 0.197(89)
printNotes: i= 85-<2565 2533  32>,  	 G2 --  1/64th.( 11) <      > 	V 11 - M 29	=-18  %-164  	q=  +  %+0  	 0.058(89)<-----%164   %0 <<

printNotes: i= 86-<2671 2701 -30>,  	Ak2 --  1/8th..(101) <      > 	V 97 - M116	=-19  %-20  	q= -4  %-4  	 0.557(89)<-----%20   %4

printNotes: i= 87-<2138 2533 -395>,  	 G2 --   1/8th.( 87) <      > 	V 77 - M 87	=-10  %-13  	q=-10  %-13  	 0.441(89)
printNotes: i= 88-<1822 2701 -879>,  	Ak2 --  1/16th.( 43) <      > 	V 42 - M 43	= -1  %-2  	q= -1  %-2  	 0.238(89)
printNotes: i= 89-<2516 2533 -17>,  	 G2 --   1/16th( 29) <      > 	V 32 - M 29	= +3  %+9  	q= +3  %+9  	 0.180(89)
printNotes: i= 90-<2288 2701 -413>,  	Ak2 --  1/8th..(101) <      > 	V102 - M101	= +1  %+1  	q= +1  %+1  	 0.586(89)
printNotes: i= 91-<2795 2804  -9>,  	Bb2 --    1/4th(116) <      > 	V127 - M116	=+11  %+9  	q=+11  %+9  	 0.731(89)
printNotes: i= 92-<2697 2701  -4>,  	Ak2 --  1/16th.( 43) <      > 	V 41 - M 43	= -2  %-5  	q= -2  %-5  	 0.232(89)
printNotes: i= 93-<2802 2804  -2>,  	Bb2 -- 1/32nd..( 25) <      > 	V 24 - M 25	= -1  %-4  	q= -1  %-4  	 0.134(89)
printNotes: i= 94-<2699 2701  -2>,  	Ak2 --   1/16th( 29) <      > 	V 33 - M 29	= +4  %+12  	q= +4  %+12  	 0.186(89)
printNotes: i= 95-<2803 2804  -1>,  	Bb2 -- 1/16th..( 51) <      > 	V 54 - M 58	= -4  %-7  	q= +3  %+6  	 0.308(89)
printNotes: i= 96-<2721 2701  20>,  	Ak2 --   1/32nd( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(89)
printNotes: i= 97-<2908 3013 -105>,  	 C3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(89)
printNotes: i= 98-<2692 2701  -9>,  	Ak2 -- 1/16th..( 51) <      > 	V 54 - M 58	= -4  %-7  	q= +3  %+6  	 0.308(89)
printNotes: i= 99-<2513 2533 -20>,  	 G2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(89)
printNotes: i= 100-<2655 2701 -46>,  	Ak2 --   1/64th(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(89)
printNotes: i= 101-<2549 2533  16>,  	 G2 --   1/16th( 29) <      > 	V 31 - M 29	= +2  %+6  	q= +2  %+6  	 0.174(89)
printNotes: i= 102-<2736 2804 -68>,  	Bb2 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(89)
printNotes: i= 103-<2547 2533  14>,  	 G2 --    1/8th( 58) <      > 	V 58 - M 58	=  +  %+0  	q=  +  %+0  	 0.331(89)
