	voice Midi Diff								present		 Best		Sec

printNotes: i= 104-<1637 2173 -536>,  	Ek2 --  1/8th..(113) <      > 	V115 - M113	= +2  %+2  	q= +2  %+2  	 0.662(80)
printNotes: i= 105-<2057 2040  17>,  	 D2 --  1/16th.( 49) <      > 	V 50 - M 49	= +1  %+2  	q= +1  %+2  	 0.284(80)
printNotes: i= 106-<2295 2325 -30>,  	 F2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)


silence
printNotes: i= 107-<   0   40 -40>,  	Slc --     half(259) <      > 	V244 - M266	=-22  %-9  	q=-15  %-6  	 1.411(80)
printNotes: i= 108-<1635 1617  18>,  	Bb1 --  1/64th.( 12) <      > 	V 11 - M 12	= -1  %-9  	q= -1  %-9  	 0.058(80)
printNotes: i= 109-< 833 2040 -1207>,  	 D2 -- 1/16th..( 57) <      > 	V 53 - M 57	= -4  %-8  	q= -4  %-8  	 0.302(80)
printNotes: i= 110-<2656 2675 -19>,  	Ak2 --   1/16th( 32) <      > 	V 32 - M 32	=  +  %+0  	q=  +  %+0  	 0.180(80)
printNotes: i= 111-<2540 2537   3>,  	 G2 --   1/8th.( 97) <-1*sela> 	V 81 - M 97	=-16  %-20  	q=-16  %-20  	 0.464(80)
printNotes: i= 112-<2307 2325 -18>,  	 F2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(80)
printNotes: i= 113-<2384 2425 -41>,  	F#2 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(80)
printNotes: i= 114-<2326 2325   1>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(80)
printNotes: i= 115-<2165 2123  42>,  	Eb2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(80)
printNotes: i= 116-<2337 2325  12>,  	 F2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 117-<2536 2537  -1>,  	 G2 --   1/16th( 32) <      > 	V 35 - M 32	= +3  %+9  	q= +3  %+9  	 0.197(80)
printNotes: i= 118-<2332 2325   7>,  	 F2 --    1/4th(130) <1*sela> 	V148 - M130	=+18  %+12  	q=+18  %+12  	 0.853(80)
printNotes: i= 119-<2177 2173   4>,  	Ek2 --  1/32nd.( 24) <      > 	V 21 - M 24	= -3  %-14  	q= -3  %-14  	 0.116(80)
printNotes: i= 120-<1953 1940  13>,  	Db2 --  1/32nd.( 24) <      > 	V 24 - M 24	=  +  %+0  	q=  +  %+0  	 0.134(80)
printNotes: i= 121-<1014 2123 -1109>,  	Eb2 --    1/8th( 65) <      > 	V 65 - M 65	=  +  %+0  	q=  +  %+0  	 0.372(80)
printNotes: i= 122-<2317 2325  -8>,  	 F2 --  1/16th.( 49) <      > 	V 48 - M 49	= -1  %-2  	q= -1  %-2  	 0.273(80)
printNotes: i= 123-<2517 2537 -20>,  	 G2 --    1/4th(130) <      > 	V135 - M130	= +5  %+4  	q= +5  %+4  	 0.778(80)
