	voice Midi Diff								present		 Best		Sec

printNotes: i= 68-<2161 2166  -5>,  	Ek2 --  1/16th.( 51) <      > 	V 46 - M 51	= -5  %-11  	q= -5  %-11  	 0.261(77)
printNotes: i= 69-<2365 2416 -51>,  	F#2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(77)
printNotes: i= 70-<2288 2316 -28>,  	 F2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(77)
printNotes: i= 71-<2389 2416 -27>,  	F#2 --    128th(  4) <      > 	V  5 - M  4	= +1  %+20  	q= +1  %+20  	 0.023(77)
printNotes: i= 72-<2175 2166   9>,  	Ek2 -- 1/32nd..( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(77)
printNotes: i= 73-<2300 2316 -16>,  	 F2 --  1/32nd.( 25) <      > 	V 25 - M 25	=  +  %+0  	q=  +  %+0  	 0.139(77)
printNotes: i= 74-<2454 2532 -78>,  	 G2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 75-<2151 2166 -15>,  	Ek2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(77)
printNotes: i= 76-<2407 2532 -125>,  	 G2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 77-<2186 2166  20>,  	Ek2 -- 1/16th..( 59) <      > 	V 59 - M 59	=  +  %+0  	q=  +  %+0  	 0.337(77)
printNotes: i= 78-<2002 2032 -30>,  	 D2 --   1/16th( 34) <      > 	V 32 - M 34	= -2  %-6  	q= -2  %-6  	 0.180(77)
printNotes: i= 79-<2309 2316  -7>,  	 F2 --    1/4th(135) <1*sela> 	V154 - M135	=+19  %+12  	q=+19  %+12  	 0.888(77)
printNotes: i= 80-<2523 2532  -9>,  	 G2 --   1/8th.(101) <      > 	V108 - M101	= +7  %+6  	q= +7  %+6  	 0.621(77)
printNotes: i= 81-<2803 2814 -11>,  	Bb2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 82-<2532 2532    >,  	 G2 --   1/32nd( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(77)
printNotes: i= 83-<2480 2711 -231>,  	 A2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 84-<2010 2166 -156>,  	Ek2 --  1/64th.( 13) <      > 	V 11 - M 13	= -2  %-18  	q= -2  %-18  	 0.058(77)
printNotes: i= 85-<2303 2316 -13>,  	 F2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 86-<2485 2532 -47>,  	 G2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 87-<2321 2316   5>,  	 F2 --   1/16th( 34) <      > 	V 36 - M 34	= +2  %+6  	q= +2  %+6  	 0.203(77)
printNotes: i= 88-<2502 2532 -30>,  	 G2 -- 1/64th..( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(77)
printNotes: i= 89-<2104 2032  72>,  	 D2 --  1/32nd.( 25) <      > 	V 25 - M 34	= -9  %-36  	q=  +  %+0  	 0.139(77)<-----%36   %0

printNotes: i= 90-<2163 2166  -3>,  	Ek2 -- 1/64th..( 15) <      > 	V 16 - M  8	= +8  %+50  	q= +1  %+6  	 0.087(77)<-----%50   %6 <<

printNotes: i= 91-<2113 2132 -19>,  	Eb2 -- 1/64th..( 15) <      > 	V 16 - M 17	= -1  %-6  	q= +1  %+6  	 0.087(77)
printNotes: i= 92-<2350 2316  34>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 93-<2168 2166   2>,  	Ek2 --  1/16th.( 51) <      > 	V 49 - M 51	= -2  %-4  	q= -2  %-4  	 0.279(77)
printNotes: i= 94-<2309 2316  -7>,  	 F2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 95-<2019 2032 -13>,  	 D2 --   1/16th( 34) <      > 	V 37 - M 34	= +3  %+8  	q= +3  %+8  	 0.209(77)
printNotes: i= 96-<2233 2316 -83>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 97-<2045 2032  13>,  	 D2 --   1/16th( 34) <      > 	V 41 - M 34	= +7  %+17  	q= +7  %+17  	 0.232(77)
printNotes: i= 98-<2161 2166  -5>,  	Ek2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 99-<1857 1813  44>,  	 C2 --   1/16th( 34) <      > 	V 35 - M 34	= +1  %+3  	q= +1  %+3  	 0.197(77)
printNotes: i= 100-<2111 2166 -55>,  	Ek2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 101-<1842 1813  29>,  	 C2 --   1/16th( 34) <      > 	V 38 - M 34	= +4  %+11  	q= +4  %+11  	 0.215(77)
printNotes: i= 102-<2111 2166 -55>,  	Ek2 --  1/64th.( 13) <      > 	V 14 - M 34	=-20  %-143  	q= +1  %+7  	 0.075(77)<-----%143   %7 <<

printNotes: i= 103-<2036 2032   4>,  	 D2 --    1/4th(135) <      > 	V129 - M101	=+28  %+22  	q= -6  %-5  	 0.743(77)<-----%22   %5

printNotes: i= 104-<1874 1813  61>,  	 C2 --  1/64th.( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(77)
printNotes: i= 105-<2150 2166 -16>,  	Ek2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 106-<2036 2032   4>,  	 D2 --     half(270) <      > 	V271 - M270	= +1  %+0  	q= +1  %+0  	 1.567(77)
printNotes: i= 107-<2263 2316 -53>,  	 F2 --   1/64th(  8) <      > 	V  8 - M  7	= +1  %+12  	q=  +  %+0  	 0.041(77)


silence
printNotes: i= 108-<   0   40 -40>,  	Slc --   half..(473) <      > 	V480 - M473	= +7  %+1  	q= +7  %+1  	 2.781(77)
printNotes: i= 109-<1681 2032 -351>,  	 D2 --   1/16th( 34) <      > 	V 40 - M 34	= +6  %+15  	q= +6  %+15  	 0.226(77)
printNotes: i= 110-<1090 1813 -723>,  	 C2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 111-<1818 1813   5>,  	 C2 --  1/32nd.( 25) <      > 	V 22 - M 25	= -3  %-14  	q= -3  %-14  	 0.122(77)<-- same note
printNotes: i= 112-<2028 2032  -4>,  	 D2 --  1/4th..(236) <      > 	V234 - M236	= -2  %-1  	q= -2  %-1  	 1.353(77)
printNotes: i= 113-<1885 1813  72>,  	 C2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(77)
printNotes: i= 114-<1925 2032 -107>,  	 D2 --  1/8th..(118) <      > 	V119 - M118	= +1  %+1  	q= +1  %+1  	 0.685(77)
printNotes: i= 115-<2031 2032  -1>,  	 D2 --    1/4th(135) <      > 	V135 - M135	=  +  %+0  	q=  +  %+0  	 0.778(77)<-- same note
printNotes: i= 116-<2299 2316 -17>,  	 F2 --   1/32nd( 17) <      > 	V 20 - M 17	= +3  %+15  	q= +3  %+15  	 0.110(77)
printNotes: i= 117-< 540 2166 -1626>,  	Ek2 -- 1/64th..( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(77)
printNotes: i= 118-< 194 2316 -2122>,  	 F2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)
printNotes: i= 119-<2162 2166  -4>,  	Ek2 --   1/16th( 34) <      > 	V 34 - M 34	=  +  %+0  	q=  +  %+0  	 0.192(77)
printNotes: i= 120-<2037 2032   5>,  	 D2 --    1/8th( 68) <      > 	V 72 - M 68	= +4  %+6  	q= +4  %+6  	 0.412(77)
printNotes: i= 121-<2030 2032  -2>,  	 D2 --  1/16th.( 51) <      > 	V 51 - M 51	=  +  %+0  	q=  +  %+0  	 0.290(77)<-- same note
printNotes: i= 122-<2030 2316 -286>,  	 F2 --  1/64th.( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(77)
printNotes: i= 123-<1812 1813  -1>,  	 C2 -- 1/16th..( 59) <      > 	V 55 - M 59	= -4  %-7  	q= -4  %-7  	 0.313(77)
printNotes: i= 124-<2221 2316 -95>,  	 F2 --  1/64th.( 13) <      > 	V 12 - M 13	= -1  %-8  	q= -1  %-8  	 0.064(77)


silence
printNotes: i= 125-<   0   40 -40>,  	Slc --  1/4th..(236) <      > 	V246 - M270	=-24  %-10  	q=+10  %+4  	 1.422(77)<-----%10   %4

printNotes: i= 126-<1234 1113 121>,  	 F1 --   1/64th(  8) <      > 	V  8 - M 13	= -5  %-62  	q=  +  %+0  	 0.041(77)<-----%62   %0 <<

