	voice Midi Diff								present		 Best		Sec

printNotes: i= 87-<2321 2312   9>,  	 F2 --  1/16th.( 43) <      > 	V 36 - M 43	= -7  %-19  	q= -7  %-19  	 0.203(90)
printNotes: i= 88-<2488 2515 -27>,  	 G2 --   1/32nd( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(90)
printNotes: i= 89-<2213 2161  52>,  	Ek2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(90)
printNotes: i= 90-<2373 2312  61>,  	 F2 --  1/32nd.( 22) <      > 	V 20 - M 22	= -2  %-10  	q= -2  %-10  	 0.110(90)
printNotes: i= 91-<2175 2161  14>,  	Ek2 --  1/16th.( 43) <      > 	V 37 - M 43	= -6  %-16  	q= -6  %-16  	 0.209(90)
printNotes: i= 92-<1908 2027 -119>,  	 D2 --   1/32nd( 14) <      > 	V 17 - M 14	= +3  %+18  	q= +3  %+18  	 0.093(90)
printNotes: i= 93-<2297 2312 -15>,  	 F2 --   1/8th.( 86) <      > 	V 89 - M 86	= +3  %+3  	q= +3  %+3  	 0.511(90)
printNotes: i= 94-<2510 2515  -5>,  	 G2 --   1/8th.( 86) <      > 	V 85 - M 86	= -1  %-1  	q= -1  %-1  	 0.488(90)
printNotes: i= 95-<2050 2161 -111>,  	Ek2 --   1/32nd( 14) <      > 	V 16 - M 14	= +2  %+12  	q= +2  %+12  	 0.087(90)
printNotes: i= 96-<2480 2515 -35>,  	 G2 --  1/64th.( 11) <      > 	V  8 - M 11	= -3  %-38  	q= -3  %-38  	 0.041(90)
printNotes: i= 97-<2319 2312   7>,  	 F2 --     half(229) <1*sela> 	V248 - M229	=+19  %+8  	q=+19  %+8  	 1.434(90)
printNotes: i= 98-<2158 2161  -3>,  	Ek2 --  1/8th..(100) <      > 	V104 - M100	= +4  %+4  	q= +4  %+4  	 0.598(90)
printNotes: i= 99-<2051 2027  24>,  	 D2 -- 1/16th..( 50) <      > 	V 49 - M 50	= -1  %-2  	q= -1  %-2  	 0.279(90)
printNotes: i= 100-<2397 2515 -118>,  	 G2 --  1/64th.( 11) <      > 	V  8 - M  7	= +1  %+12  	q= -3  %-38  	 0.041(90)


silence
printNotes: i= 101-<   0   40 -40>,  	Slc --   2whole(917) <-2*sela> 	V877 - M803	=+74  %+8  	q=-40  %-5  	 5.085(90)<-----%8   %5

printNotes: i= 102-<1776 1609 167>,  	Bb1 --  128th..(  6) <      > 	V  6 - M  7	= -1  %-17  	q=  +  %+0  	 0.029(90)
printNotes: i= 103-<1719 2312 -593>,  	 F2 --  1/32nd.( 22) <      > 	V 21 - M 25	= -4  %-19  	q= -1  %-5  	 0.116(90)<-----%19   %5

printNotes: i= 104-< 312 2161 -1849>,  	Ek2 --   1/32nd( 14) <      > 	V 14 - M 11	= +3  %+21  	q=  +  %+0  	 0.075(90)<-----%21   %0 <<

printNotes: i= 105-<2328 2312  16>,  	 F2 -- 1/32nd..( 25) <      > 	V 26 - M 25	= +1  %+4  	q= +1  %+4  	 0.145(90)
printNotes: i= 106-<2497 2515 -18>,  	 G2 --   1/8th.( 86) <      > 	V 74 - M 86	=-12  %-16  	q=-12  %-16  	 0.424(90)
printNotes: i= 107-<2647 2663 -16>,  	Ak2 --  1/32nd.( 22) <      > 	V 18 - M 22	= -4  %-22  	q= -4  %-22  	 0.099(90)
printNotes: i= 108-<2531 2515  16>,  	 G2 --   1/8th.( 86) <      > 	V 82 - M 86	= -4  %-5  	q= -4  %-5  	 0.470(90)
printNotes: i= 109-<2122 2663 -541>,  	Ak2 --   1/16th( 29) <      > 	V 29 - M 29	=  +  %+0  	q=  +  %+0  	 0.163(90)
