	voice Midi Diff								present		 Best		Sec

printNotes: i= 70-<   0   40 -40>,  	Slc --    half.(365) <      > 	V352 - M370	=-18  %-5  	q=-13  %-4  	 2.038(85)
printNotes: i= 71-<1857 1355 502>,  	 G1 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(85)
printNotes: i= 72-<3114 3196 -82>,  	 D3 --   1/4th.(183) <      > 	V171 - M183	=-12  %-7  	q=-12  %-7  	 0.987(85)
printNotes: i= 73-<3010 3018  -8>,  	 C3 --    1/8th( 61) <      > 	V 73 - M 61	=+12  %+16  	q=+12  %+16  	 0.418(85)
printNotes: i= 74-<3185 3196 -11>,  	 D3 --    1/4th(122) <      > 	V121 - M122	= -1  %-1  	q= -1  %-1  	 0.697(85)
printNotes: i= 75-<3407 3396  11>,  	 E3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(85)
printNotes: i= 76-<3221 3196  25>,  	 D3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 77-<3266 3396 -130>,  	 E3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(85)
printNotes: i= 78-<3058 3018  40>,  	 C3 --   1/32nd( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(85)
printNotes: i= 79-<3324 3396 -72>,  	 E3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(85)
printNotes: i= 80-<3229 3196  33>,  	 D3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(85)
printNotes: i= 81-<3374 3396 -22>,  	 E3 -- 1/64th..( 13) <      > 	V 13 - M 13	=  +  %+0  	q=  +  %+0  	 0.070(85)
printNotes: i= 82-<2962 3018 -56>,  	 C3 --   1/16th( 30) <      > 	V 37 - M 30	= +7  %+19  	q= +7  %+19  	 0.209(85)
printNotes: i= 83-<3346 3396 -50>,  	 E3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(85)
printNotes: i= 84-<3020 3018   2>,  	 C3 -- 1/16th..( 53) <      > 	V 55 - M 53	= +2  %+4  	q= +2  %+4  	 0.313(85)
printNotes: i= 85-<3337 3396 -59>,  	 E3 --  1/64th.( 11) <      > 	V 11 - M 11	=  +  %+0  	q=  +  %+0  	 0.058(85)
printNotes: i= 86-<3202 3196   6>,  	 D3 --    1/4th(122) <      > 	V115 - M122	= -7  %-6  	q= -7  %-6  	 0.662(85)
printNotes: i= 87-<3383 3396 -13>,  	 E3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(85)
printNotes: i= 88-<3248 3196  52>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(85)
printNotes: i= 89-<3415 3496 -81>,  	 F3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(85)
printNotes: i= 90-<3028 3018  10>,  	 C3 --    1/8th( 61) <      > 	V 67 - M 61	= +6  %+9  	q= +6  %+9  	 0.383(85)
printNotes: i= 91-<1970 3296 -1326>,  	Eb3 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(85)
printNotes: i= 92-<2749 3018 -269>,  	 C3 --   1/16th( 30) <      > 	V 33 - M 30	= +3  %+9  	q= +3  %+9  	 0.186(85)


silence
printNotes: i= 93-<   0   40 -40>,  	Slc --  1/8th..(106) <      > 	V103 - M106	= -3  %-3  	q= -3  %-3  	 0.592(85)
printNotes: i= 94-<2824 2817   7>,  	Bb2 --  1/8th..(106) <      > 	V 99 - M106	= -7  %-7  	q= -7  %-7  	 0.569(85)
printNotes: i= 95-<3026 3018   8>,  	 C3 --    1/8th( 61) <      > 	V 68 - M 61	= +7  %+10  	q= +7  %+10  	 0.389(85)
printNotes: i= 96-<3294 3296  -2>,  	Eb3 --  1/64th.( 11) <      > 	V 10 - M 11	= -1  %-10  	q= -1  %-10  	 0.052(85)
