	voice Midi Diff								present		 Best		Sec

printNotes: i= 49-<1970 1977  -7>,  	 D2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 50-<1736 1766 -30>,  	 C2 --  1/32nd.( 23) <      > 	V 19 - M 15	= +4  %+21  	q= -4  %-21  	 0.104(86)
printNotes: i= 51-<1858 1977 -119>,  	 D2 --  1/64th.( 11) <      > 	V 11 - M 15	= -4  %-36  	q=  +  %+0  	 0.058(86)<-----%36   %0 <<

printNotes: i= 52-<1771 1766   5>,  	 C2 -- 1/32nd..( 26) <      > 	V 26 - M 15	=+11  %+42  	q=  +  %+0  	 0.145(86)<-----%42   %0

printNotes: i= 53-<1970 1977  -7>,  	 D2 --   1/32nd( 15) <      > 	V 18 - M 15	= +3  %+17  	q= +3  %+17  	 0.099(86)
printNotes: i= 54-<1784 1766  18>,  	 C2 -- 1/16th..( 53) <      > 	V 54 - M 45	= +9  %+17  	q= +1  %+2  	 0.308(86)<-----%17   %2

printNotes: i= 55-<1655 1666 -11>,  	 B1 --   1/32nd( 15) <      > 	V 15 - M 30	=-15  %-100  	q=  +  %+0  	 0.081(86)<-----%100   %0 <<

printNotes: i= 56-<1782 1766  16>,  	 C2 --   1/4th.(181) <      > 	V188 - M181	= +7  %+4  	q= +7  %+4  	 1.086(86)


silence
printNotes: i= 57-<   0   40 -40>,  	Slc --   whole.(724) <-5*sela> 	V649 - M784	=-135  %-21  	q=-75  %-12  	 3.762(86)<-----%21   %12

printNotes: i= 58-<1610 1616  -6>,  	Bk1 --   1/16th( 30) <      > 	V 35 - M 30	= +5  %+14  	q= +5  %+14  	 0.197(86)
printNotes: i= 59-<1945 1977 -32>,  	 D2 --   1/4th.(181) <      > 	V170 - M 60	=+110  %+65  	q=-11  %-6  	 0.981(86)<-----%65   %6

printNotes: i= 60-<1215 1977 -762>,  	 D2 --    1/4th(121) <      > 	V121 - M121	=  +  %+0  	q=  +  %+0  	 0.697(86)<-- same note
printNotes: i= 61-<2003 1977  26>,  	 D2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 62-<1982 1977   5>,  	 D2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 63-<1975 1977  -2>,  	 D2 --  1/4th..(211) <      > 	V211 - M211	=  +  %+0  	q=  +  %+0  	 1.219(86)<-- same note
printNotes: i= 64-<1993 1977  16>,  	 D2 --    1/8th( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(86)<-- same note


silence
printNotes: i= 65-<   0   40 -40>,  	Slc --   1/16th( 30) <      > 	V 29 - M181	=-152  %-524  	q= -1  %-3  	 0.163(86)<-----%524   %3

printNotes: i= 66-<1511 1766 -255>,  	 C2 -- 1/32nd..( 26) <      > 	V 25 - M 30	= -5  %-20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 67-<1249 1977 -728>,  	 D2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
printNotes: i= 68-<1595 1977 -382>,  	 D2 --  1/16th.( 45) <      > 	V 45 - M 45	=  +  %+0  	q=  +  %+0  	 0.255(86)<-- same note
printNotes: i= 69-<1894 1977 -83>,  	 D2 --   1/4th.(181) <      > 	V173 - M181	= -8  %-5  	q= -8  %-5  	 0.998(86)<-- same note
printNotes: i= 70-<1483 1766 -283>,  	 C2 --    1/8th( 60) <      > 	V 69 - M 60	= +9  %+13  	q= +9  %+13  	 0.395(86)
printNotes: i= 71-<1011 1766 -755>,  	 C2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 72-<1810 1766  44>,  	 C2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)<-- same note
printNotes: i= 73-<1968 1977  -9>,  	 D2 --  1/8th..(106) <      > 	V113 - M121	= -8  %-7  	q= +7  %+6  	 0.650(86)
printNotes: i= 74-<2102 2124 -22>,  	Ek2 --   1/16th( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(86)
printNotes: i= 75-<2262 2259   3>,  	 F2 --    half.(362) <      > 	V360 - M362	= -2  %-1  	q= -2  %-1  	 2.084(86)
printNotes: i= 76-<2142 2124  18>,  	Ek2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 77-<2284 2259  25>,  	 F2 -- 1/32nd..( 26) <      > 	V 26 - M 30	= -4  %-15  	q=  +  %+0  	 0.145(86)<-----%15   %0

printNotes: i= 78-<2493 2481  12>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 15	=+18  %+55  	q= +3  %+9  	 0.186(86)<-----%55   %9

printNotes: i= 79-<2656 2659  -3>,  	 A2 -- 1/64th..( 13) <      > 	V 13 - M 15	= -2  %-15  	q=  +  %+0  	 0.070(86)<-----%15   %0 <<

printNotes: i= 80-<2273 2259  14>,  	 F2 --     half(241) <      > 	V254 - M241	=+13  %+5  	q=+13  %+5  	 1.469(86)
printNotes: i= 81-<1881 2481 -600>,  	 G2 --  1/16th.( 45) <      > 	V 45 - M 30	=+15  %+33  	q=  +  %+0  	 0.255(86)<-----%33   %0

printNotes: i= 82-<2158 2124  34>,  	Ek2 --   1/16th( 30) <      > 	V 32 - M 30	= +2  %+6  	q= +2  %+6  	 0.180(86)


silence
printNotes: i= 83-<  82   40  42>,  	Slc --   1/4th.(181) <      > 	V195 - M181	=+14  %+7  	q=+14  %+7  	 1.126(86)
printNotes: i= 84-<1969 1977  -8>,  	 D2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(86)
printNotes: i= 85-<2464 2481 -17>,  	 G2 --    1/8th( 60) <      > 	V 60 - M 30	=+30  %+50  	q=  +  %+0  	 0.342(86)<-----%50   %0

printNotes: i= 86-<2443 2659 -216>,  	 A2 -- 1/64th..( 13) <      > 	V 14 - M 30	=-16  %-114  	q= +1  %+7  	 0.075(86)<-----%114   %7 <<

printNotes: i= 87-<2262 2259   3>,  	 F2 --   1/4th.(181) <-1*sela> 	V159 - M181	=-22  %-14  	q=-22  %-14  	 0.917(86)
printNotes: i= 88-<2467 2481 -14>,  	 G2 --  1/16th.( 45) <      > 	V 39 - M 30	= +9  %+23  	q= -6  %-15  	 0.221(86)<-----%23   %15

printNotes: i= 89-<2140 2124  16>,  	Ek2 --  1/8th..(106) <      > 	V100 - M 90	=+10  %+10  	q= -6  %-6  	 0.575(86)<-----%10   %6

printNotes: i= 90-<2509 2481  28>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 15	=+16  %+52  	q= +1  %+3  	 0.174(86)<-----%52   %3

printNotes: i= 91-<2573 2659 -86>,  	 A2 --   128th.(  6) <      > 	V  6 - M 15	= -9  %-150  	q=  +  %+0  	 0.029(86)<-----%150   %0 <<

printNotes: i= 92-<2265 2259   6>,  	 F2 --  1/8th..(106) <      > 	V108 - M121	=-13  %-12  	q= +2  %+2  	 0.621(86)<-----%12   %2

printNotes: i= 93-<2393 2481 -88>,  	 G2 --  1/16th.( 45) <      > 	V 39 - M 30	= +9  %+23  	q= -6  %-15  	 0.221(86)<-----%23   %15

printNotes: i= 94-<1392 2124 -732>,  	Ek2 --   1/8th.( 90) <      > 	V 84 - M 30	=+54  %+64  	q= -6  %-7  	 0.482(86)<-----%64   %7



silence
printNotes: i= 95-<   0   40 -40>,  	Slc --  1/16th.( 45) <      > 	V 45 - M 60	=-15  %-33  	q=  +  %+0  	 0.255(86)<-----%33   %0

printNotes: i= 96-<1552 1766 -214>,  	 C2 --  1/32nd.( 23) <      > 	V 22 - M 30	= -8  %-36  	q= -1  %-5  	 0.122(86)<-----%36   %5

printNotes: i= 97-<2088 2124 -36>,  	Ek2 -- 1/16th..( 53) <      > 	V 56 - M 30	=+26  %+46  	q= +3  %+5  	 0.319(86)<-----%46   %5

printNotes: i= 98-<2253 2259  -6>,  	 F2 --  1/16th.( 45) <      > 	V 38 - M 30	= +8  %+21  	q= -7  %-18  	 0.215(86)
printNotes: i= 99-<2479 2481  -2>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 100-<2269 2259  10>,  	 F2 --  1/16th.( 45) <      > 	V 46 - M 30	=+16  %+35  	q= +1  %+2  	 0.261(86)<-----%35   %2

printNotes: i= 101-<2498 2481  17>,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 102-<2258 2259  -1>,  	 F2 --   1/8th.( 90) <      > 	V 79 - M 90	=-11  %-14  	q=-11  %-14  	 0.453(86)
printNotes: i= 103-<2483 2481   2>,  	 G2 -- 1/16th..( 53) <      > 	V 52 - M 60	= -8  %-15  	q= -1  %-2  	 0.296(86)<-----%15   %2

printNotes: i= 104-<2718 2659  59>,  	 A2 --   1/32nd( 15) <      > 	V 16 - M 30	=-14  %-88  	q= +1  %+6  	 0.087(86)<-----%88   %6 <<

printNotes: i= 105-<2504 2481  23>,  	 G2 --   1/16th( 30) <      > 	V 33 - M 15	=+18  %+55  	q= +3  %+9  	 0.186(86)<-----%55   %9

printNotes: i= 106-<2655 2659  -4>,  	 A2 --  128th..(  7) <      > 	V  7 - M 15	= -8  %-114  	q=  +  %+0  	 0.035(86)<-----%114   %0 <<

printNotes: i= 107-<2450 2481 -31>,  	 G2 --   1/16th( 30) <      > 	V 31 - M 30	= +1  %+3  	q= +1  %+3  	 0.174(86)
printNotes: i= 108-<2240 2259 -19>,  	 F2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 109-<2233 2481 -248>,  	 G2 --  1/64th.( 11) <      > 	V 10 - M 15	= -5  %-50  	q= -1  %-10  	 0.052(86)<-----%50   %10 <<

printNotes: i= 110-<2288 2259  29>,  	 F2 --  1/16th.( 45) <      > 	V 43 - M 45	= -2  %-5  	q= -2  %-5  	 0.244(86)
printNotes: i= 111-<2159 2124  35>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 30	= -9  %-43  	q= -2  %-10  	 0.116(86)<-----%43   %10

printNotes: i= 112-<2332 2259  73>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(86)
printNotes: i= 113-<2139 2124  15>,  	Ek2 -- 1/16th..( 53) <      > 	V 50 - M 45	= +5  %+10  	q= -3  %-6  	 0.284(86)<-----%10   %6

printNotes: i= 114-<2253 2259  -6>,  	 F2 --   1/8th.( 90) <      > 	V 87 - M 60	=+27  %+31  	q= -3  %-3  	 0.499(86)<-----%31   %3

printNotes: i= 115-<2409 2481 -72>,  	 G2 --    1/8th( 60) <      > 	V 63 - M 60	= +3  %+5  	q= +3  %+5  	 0.360(86)
printNotes: i= 116-<2145 2124  21>,  	Ek2 --  1/64th.( 11) <      > 	V 11 - M 30	=-19  %-173  	q=  +  %+0  	 0.058(86)<-----%173   %0 <<

printNotes: i= 117-<2246 2259 -13>,  	 F2 --    half.(362) <      > 	V367 - M362	= +5  %+1  	q= +5  %+1  	 2.125(86)


silence
printNotes: i= 118-<   0   40 -40>,  	Slc --   1/4th.(181) <      > 	V171 - M121	=+50  %+29  	q=-10  %-6  	 0.987(86)<-----%29   %6

printNotes: i= 119-<1757 1766  -9>,  	 C2 --  1/16th.( 45) <      > 	V 43 - M 30	=+13  %+30  	q= -2  %-5  	 0.244(86)<-----%30   %5

printNotes: i= 120-<2243 2259 -16>,  	 F2 --  1/4th..(211) <      > 	V203 - M196	= +7  %+3  	q= -8  %-4  	 1.173(86)
printNotes: i= 121-<2481 2481    >,  	 G2 -- 1/64th..( 13) <      > 	V 14 - M 15	= -1  %-7  	q= +1  %+7  	 0.075(86)
printNotes: i= 122-<2322 2259  63>,  	 F2 --  1/16th.( 45) <      > 	V 41 - M 40	= +1  %+2  	q= -4  %-10  	 0.232(86)
printNotes: i= 123-<2130 2124   6>,  	Ek2 -- 1/32nd..( 26) <      > 	V 25 - M 20	= +5  %+20  	q= -1  %-4  	 0.139(86)<-----%20   %4

printNotes: i= 124-<2324 2259  65>,  	 F2 --   1/32nd( 15) <      > 	V 17 - M 20	= -3  %-18  	q= +2  %+12  	 0.093(86)<-----%18   %12

printNotes: i= 125-<2134 2124  10>,  	Ek2 --   1/16th( 30) <      > 	V 29 - M 40	=-11  %-38  	q= -1  %-3  	 0.163(86)<-----%38   %3

printNotes: i= 126-<2255 2259  -4>,  	 F2 --     half(241) <2*sela> 	V280 - M211	=+69  %+25  	q=+39  %+14  	 1.620(86)<-----%25   %14

printNotes: i= 127-<2459 2481 -22>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 30	=-18  %-150  	q= +1  %+8  	 0.064(86)<-----%150   %8 <<

printNotes: i= 128-<2324 2259  65>,  	 F2 --  1/16th.( 45) <      > 	V 40 - M 40	=  +  %+0  	q= -5  %-12  	 0.226(86)
printNotes: i= 129-<2133 2124   9>,  	Ek2 -- 1/32nd..( 26) <      > 	V 26 - M 20	= +6  %+23  	q=  +  %+0  	 0.145(86)<-----%23   %0

printNotes: i= 130-<2331 2259  72>,  	 F2 --   1/32nd( 15) <      > 	V 18 - M 20	= -2  %-11  	q= +3  %+17  	 0.099(86)
printNotes: i= 131-<2130 2124   6>,  	Ek2 -- 1/32nd..( 26) <      > 	V 27 - M 40	=-13  %-48  	q= +1  %+4  	 0.151(86)<-----%48   %4

printNotes: i= 132-<2261 2259   2>,  	 F2 --   1/8th.( 90) <      > 	V 89 - M 60	=+29  %+33  	q= -1  %-1  	 0.511(86)<-----%33   %1

printNotes: i= 133-<2461 2481 -20>,  	 G2 -- 1/64th..( 13) <      > 	V 13 - M 30	=-17  %-131  	q=  +  %+0  	 0.070(86)<-----%131   %0 <<

printNotes: i= 134-<2278 2259  19>,  	 F2 --  1/16th.( 45) <      > 	V 40 - M 40	=  +  %+0  	q= -5  %-12  	 0.226(86)
printNotes: i= 135-<2137 2124  13>,  	Ek2 -- 1/32nd..( 26) <      > 	V 26 - M 20	= +6  %+23  	q=  +  %+0  	 0.145(86)<-----%23   %0

printNotes: i= 136-<2321 2259  62>,  	 F2 --   1/32nd( 15) <      > 	V 15 - M 20	= -5  %-33  	q=  +  %+0  	 0.081(86)<-----%33   %0 <<

printNotes: i= 137-<2105 2124 -19>,  	Ek2 --   1/16th( 30) <      > 	V 29 - M 40	=-11  %-38  	q= -1  %-3  	 0.163(86)<-----%38   %3

printNotes: i= 138-<2242 2259 -17>,  	 F2 --   1/16th( 30) <      > 	V 36 - M 20	=+16  %+44  	q= +6  %+17  	 0.203(86)<-----%44   %17

printNotes: i= 139-<2431 2481 -50>,  	 G2 --  1/64th.( 11) <      > 	V 12 - M 20	= -8  %-67  	q= +1  %+8  	 0.064(86)<-----%67   %8 <<

printNotes: i= 140-<2278 2259  19>,  	 F2 --   1/16th( 30) <      > 	V 31 - M 40	= -9  %-29  	q= +1  %+3  	 0.174(86)<-----%29   %3

printNotes: i= 141-<2449 2481 -32>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 20	=+10  %+33  	q=  +  %+0  	 0.168(86)<-----%33   %0

printNotes: i= 142-<2704 2659  45>,  	 A2 --   1/32nd( 15) <      > 	V 16 - M 20	= -4  %-25  	q= +1  %+6  	 0.087(86)<-----%25   %6 <<

printNotes: i= 143-<2364 2481 -117>,  	 G2 --   1/16th( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(86)
