	voice Midi Diff								present		 Best		Sec

printNotes: i= 58-<1460 1498 -38>,  	 A1 -- 1/32nd..( 27) <      > 	V 27 - M 27	=  +  %+0  	q=  +  %+0  	 0.151(83)
printNotes: i= 59-<1053 1998 -945>,  	 D2 -- 1/16th..( 55) <      > 	V 54 - M 55	= -1  %-2  	q= -1  %-2  	 0.308(83)
printNotes: i= 60-<2039 2119 -80>,  	Ek2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(83)
printNotes: i= 61-<2261 2265  -4>,  	 F2 --  1/4th..(218) <      > 	V233 - M249	=-16  %-7  	q=+15  %+6  	 1.347(83)
printNotes: i= 62-<2059 2119 -60>,  	Ek2 --  1/16th.( 47) <      > 	V 39 - M 47	= -8  %-21  	q= -8  %-21  	 0.221(83)
printNotes: i= 63-<2482 2476   6>,  	 G2 --   1/8th.( 94) <      > 	V 93 - M 94	= -1  %-1  	q= -1  %-1  	 0.534(83)
printNotes: i= 64-<2692 2729 -37>,  	Bb2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(83)
printNotes: i= 65-<2484 2476   8>,  	 G2 --   1/16th( 31) <      > 	V 37 - M 31	= +6  %+16  	q= +6  %+16  	 0.209(83)
printNotes: i= 66-<2276 2729 -453>,  	Bb2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(83)
printNotes: i= 67-<2038 2265 -227>,  	 F2 --   1/4th.(187) <      > 	V182 - M187	= -5  %-3  	q= -5  %-3  	 1.051(83)
printNotes: i= 68-<2473 2476  -3>,  	 G2 --  1/16th.( 47) <      > 	V 41 - M 47	= -6  %-15  	q= -6  %-15  	 0.232(83)
printNotes: i= 69-<2657 2659  -2>,  	 A2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(83)
printNotes: i= 70-<2496 2476  20>,  	 G2 --   1/16th( 31) <      > 	V 32 - M 31	= +1  %+3  	q= +1  %+3  	 0.180(83)


silence
printNotes: i= 71-<   0   40 -40>,  	Slc --   1/8th.( 94) <      > 	V 90 - M 94	= -4  %-4  	q= -4  %-4  	 0.517(83)
printNotes: i= 72-< 824 2119 -1295>,  	Ek2 --   1/16th( 31) <      > 	V 31 - M 31	=  +  %+0  	q=  +  %+0  	 0.174(83)
printNotes: i= 73-<2068 2265 -197>,  	 F2 --    1/8th( 62) <      > 	V 62 - M 62	=  +  %+0  	q=  +  %+0  	 0.354(83)
printNotes: i= 74-<2269 2265   4>,  	 F2 --  1/4th..(218) <      > 	V211 - M218	= -7  %-3  	q= -7  %-3  	 1.219(83)<-- same note
printNotes: i= 75-<2139 2119  20>,  	Ek2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(83)
printNotes: i= 76-<2258 2265  -7>,  	 F2 --     half(249) <      > 	V249 - M249	=  +  %+0  	q=  +  %+0  	 1.440(83)
printNotes: i= 77-<2018 2119 -101>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 14	=  +  %+0  	q=  +  %+0  	 0.075(83)
printNotes: i= 78-<2534 2659 -125>,  	 A2 --   1/64th(  8) <      > 	V 10 - M 12	= -2  %-20  	q= +2  %+20  	 0.052(83)
printNotes: i= 79-<2274 2265   9>,  	 F2 --    1/4th(125) <      > 	V136 - M125	=+11  %+8  	q=+11  %+8  	 0.784(83)
printNotes: i= 80-<2147 2119  28>,  	Ek2 --  1/32nd.( 23) <      > 	V 20 - M 23	= -3  %-15  	q= -3  %-15  	 0.110(83)
printNotes: i= 81-<2372 2476 -104>,  	 G2 --   128th.(  6) <      > 	V  6 - M  6	=  +  %+0  	q=  +  %+0  	 0.029(83)
printNotes: i= 82-<2306 2265  41>,  	 F2 --  1/32nd.( 23) <      > 	V 21 - M 23	= -2  %-10  	q= -2  %-10  	 0.116(83)
printNotes: i= 83-<2601 2659 -58>,  	 A2 --    128th(  4) <      > 	V  4 - M  4	=  +  %+0  	q=  +  %+0  	 0.017(83)
printNotes: i= 84-<2521 2476  45>,  	 G2 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(83)
printNotes: i= 85-<2392 2946 -554>,  	 C3 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(83)
printNotes: i= 86-<2480 2476   4>,  	 G2 --  1/32nd.( 23) <      > 	V 22 - M 23	= -1  %-5  	q= -1  %-5  	 0.122(83)
printNotes: i= 87-<1911 2659 -748>,  	 A2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(83)
printNotes: i= 88-<2130 2265 -135>,  	 F2 --   1/32nd( 16) <      > 	V 16 - M 16	=  +  %+0  	q=  +  %+0  	 0.087(83)
printNotes: i= 89-<2050 2476 -426>,  	 G2 --  128th..(  7) <      > 	V  7 - M  7	=  +  %+0  	q=  +  %+0  	 0.035(83)
printNotes: i= 90-<2043 2119 -76>,  	Ek2 -- 1/32nd..( 27) <      > 	V 26 - M 27	= -1  %-4  	q= -1  %-4  	 0.145(83)
