	voice Midi Diff								present		 Best		Sec

printNotes: i= 63-<2884 2969 -85>,  	 C3 --   1/8th.( 90) <      > 	V 95 - M 90	= +5  %+5  	q= +5  %+5  	 0.546(86)


silence
printNotes: i= 64-<   0   40 -40>,  	Slc --  1/8th..(105) <      > 	V106 - M105	= +1  %+1  	q= +1  %+1  	 0.610(86)
printNotes: i= 65-<2401 2125 276>,  	Ek2 --   1/16th( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(86)
printNotes: i= 66-<3127 3178 -51>,  	 D3 --    1/4th(120) <      > 	V131 - M120	=+11  %+8  	q=+11  %+8  	 0.755(86)
printNotes: i= 67-<3408 3478 -70>,  	 F3 --   1/64th(  8) <      > 	V  8 - M  8	=  +  %+0  	q=  +  %+0  	 0.041(86)
printNotes: i= 68-<3188 3178  10>,  	 D3 --   1/8th.( 90) <      > 	V 89 - M 90	= -1  %-1  	q= -1  %-1  	 0.511(86)
printNotes: i= 69-<3425 3478 -53>,  	 F3 --  1/64th.( 11) <      > 	V 12 - M 11	= +1  %+8  	q= +1  %+8  	 0.064(86)
printNotes: i= 70-<3177 3178  -1>,  	 D3 --  1/32nd.( 23) <      > 	V 24 - M 23	= +1  %+4  	q= +1  %+4  	 0.134(86)
printNotes: i= 71-<2977 2969   8>,  	 C3 -- 1/32nd..( 26) <      > 	V 27 - M 26	= +1  %+4  	q= +1  %+4  	 0.151(86)
printNotes: i= 72-<2849 2817  32>,  	Bk2 --  1/32nd.( 23) <      > 	V 19 - M 23	= -4  %-21  	q= -4  %-21  	 0.104(86)
printNotes: i= 73-<2976 2969   7>,  	 C3 --  1/8th..(105) <      > 	V111 - M105	= +6  %+5  	q= +6  %+5  	 0.639(86)
printNotes: i= 74-<2282 3178 -896>,  	 D3 -- 1/64th..( 13) <      > 	V 14 - M 13	= +1  %+7  	q= +1  %+7  	 0.075(86)
printNotes: i= 75-<2972 2969   3>,  	 C3 --   1/8th.( 90) <      > 	V 76 - M 90	=-14  %-18  	q=-14  %-18  	 0.435(86)
