	voice Midi Diff								present		 Best		Sec

printNotes: i= 81-<2937 2958 -21>,  	 C3 --   1/32nd( 16) <      > 	V 16 - M 14	= +2  %+12  	q=  +  %+0  	 0.087(81)
printNotes: i= 82-<2725 2737 -12>,  	Bb2 --    1/4th(128) <      > 	V139 - M128	=+11  %+8  	q=+11  %+8  	 0.801(81)
printNotes: i= 83-<2684 2672  12>,  	 A2 --  1/16th.( 48) <      > 	V 51 - M 48	= +3  %+6  	q= +3  %+6  	 0.290(81)
printNotes: i= 84-<2665 2672  -7>,  	 A2 --   1/4th.(193) <      > 	V193 - M193	=  +  %+0  	q=  +  %+0  	 1.115(81)<-- same note
printNotes: i= 85-<2471 2478  -7>,  	 G2 --   1/8th.( 96) <      > 	V 90 - M 96	= -6  %-7  	q= -6  %-7  	 0.517(81)
printNotes: i= 86-<2339 2267  72>,  	 F2 --   1/16th( 32) <      > 	V 30 - M 32	= -2  %-7  	q= -2  %-7  	 0.168(81)
printNotes: i= 87-<3651 2478 1173>,  	 G2 --   1/32nd( 16) <      > 	V 17 - M 16	= +1  %+6  	q= +1  %+6  	 0.093(81)


silence
printNotes: i= 88-<  16   40 -24>,  	Slc --    whole(514) <-1*sela> 	V487 - M514	=-27  %-6  	q=-27  %-6  	 2.821(81)
printNotes: i= 89-<2107 2672 -565>,  	 A2 --  1/16th.( 48) <      > 	V 48 - M 48	=  +  %+0  	q=  +  %+0  	 0.273(81)
printNotes: i= 90-<2327 2478 -151>,  	 G2 -- 1/16th..( 56) <      > 	V 52 - M 56	= -4  %-8  	q= -4  %-8  	 0.296(81)
printNotes: i= 91-<2654 2672 -18>,  	 A2 -- 1/32nd..( 28) <      > 	V 26 - M 28	= -2  %-8  	q= -2  %-8  	 0.145(81)
printNotes: i= 92-<2494 2478  16>,  	 G2 --  1/16th.( 48) <      > 	V 44 - M 48	= -4  %-9  	q= -4  %-9  	 0.250(81)
printNotes: i= 93-<2738 2737   1>,  	Bb2 -- 1/64th..( 14) <      > 	V 15 - M 14	= +1  %+7  	q= +1  %+7  	 0.081(81)
printNotes: i= 94-<2677 2672   5>,  	 A2 --    1/4th(128) <      > 	V141 - M128	=+13  %+9  	q=+13  %+9  	 0.813(81)
printNotes: i= 95-<2475 2478  -3>,  	 G2 --  1/8th..(112) <      > 	V108 - M112	= -4  %-4  	q= -4  %-4  	 0.621(81)
printNotes: i= 96-<2282 2267  15>,  	 F2 --   1/4th.(193) <-1*sela> 	V174 - M193	=-19  %-11  	q=-19  %-11  	 1.004(81)
printNotes: i= 97-<2028 2140 -112>,  	Ek2 -- 1/64th..( 14) <      > 	V 14 - M 12	= +2  %+14  	q=  +  %+0  	 0.075(81)
printNotes: i= 98-<2476 2478  -2>,  	 G2 --    1/8th( 64) <      > 	V 66 - M 64	= +2  %+3  	q= +2  %+3  	 0.377(81)


silence
printNotes: i= 99-<   0   40 -40>,  	Slc --   1/4th.(193) <-1*sela> 	V170 - M230	=-60  %-35  	q=-23  %-14  	 0.981(81)<-----%35   %14

