	voice Midi Diff								present		 Best		Sec

printNotes: i= 110-<   0   40 -40>,  	Slc --    1/8th( 80) <      > 	V 76 - M 96	=-20  %-26  	q= -4  %-5  	 0.435(65)<-----%26   %5

printNotes: i= 111-<1348 1767 -419>,  	 C2 -- 1/32nd..( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(65)
printNotes: i= 112-<2178 2267 -89>,  	 F2 -- 1/64th..( 17) <      > 	V 17 - M 17	=  +  %+0  	q=  +  %+0  	 0.093(65)
printNotes: i= 113-<1317 2130 -813>,  	Ek2 --  1/32nd.( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(65)
printNotes: i= 114-<2271 2267   4>,  	 F2 --  1/32nd.( 30) <      > 	V 28 - M 30	= -2  %-7  	q= -2  %-7  	 0.157(65)
printNotes: i= 115-<2118 2130 -12>,  	Ek2 -- 1/32nd..( 35) <      > 	V 34 - M 35	= -1  %-3  	q= -1  %-3  	 0.192(65)
printNotes: i= 116-<2284 2267  17>,  	 F2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)
printNotes: i= 117-<2139 2130   9>,  	Ek2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(65)
printNotes: i= 118-<2343 2482 -139>,  	 G2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(65)
printNotes: i= 119-<2155 2130  25>,  	Ek2 --   1/32nd( 20) <      > 	V 18 - M 20	= -2  %-11  	q= -2  %-11  	 0.099(65)
printNotes: i= 120-<2224 2267 -43>,  	 F2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(65)
printNotes: i= 121-<2139 2130   9>,  	Ek2 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(65)
printNotes: i= 122-<2025 2011  14>,  	 D2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(65)
printNotes: i= 123-<2100 2130 -30>,  	Ek2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(65)
printNotes: i= 124-<1291 2011 -720>,  	 D2 --    1/8th( 80) <      > 	V 95 - M 80	=+15  %+16  	q=+15  %+16  	 0.546(65)
printNotes: i= 125-<2021 2011  10>,  	 D2 --   1/16th( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(65)<-- same note
printNotes: i= 126-<2387 2482 -95>,  	 G2 --   128th.(  7) <      > 	V  8 - M  7	= +1  %+12  	q= +1  %+12  	 0.041(65)


silence
printNotes: i= 127-<   0   40 -40>,  	Slc --   half..(557) <-1*sela> 	V526 - M565	=-39  %-7  	q=-31  %-6  	 3.048(65)
printNotes: i= 128-<1683 1567 116>,  	Bb1 --   1/32nd( 20) <      > 	V 24 - M 20	= +4  %+17  	q= +4  %+17  	 0.134(65)
printNotes: i= 129-<2059 2690 -631>,  	 A2 --   1/8th.(119) <      > 	V118 - M119	= -1  %-1  	q= -1  %-1  	 0.679(65)
printNotes: i= 130-<2704 2690  14>,  	 A2 --   1/16th( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(65)<-- same note
printNotes: i= 131-<1961 2482 -521>,  	 G2 --  1/8th..(139) <      > 	V146 - M139	= +7  %+5  	q= +7  %+5  	 0.842(65)
printNotes: i= 132-<1370 2267 -897>,  	 F2 --    1/8th( 80) <      > 	V 80 - M 80	=  +  %+0  	q=  +  %+0  	 0.459(65)
printNotes: i= 133-<2271 2267   4>,  	 F2 --  1/32nd.( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(65)<-- same note
printNotes: i= 134-<2483 2482   1>,  	 G2 --    1/4th(159) <1*sela> 	V181 - M159	=+22  %+12  	q=+22  %+12  	 1.045(65)
printNotes: i= 135-<1823 2417 -594>,  	Gk2 --    128th(  5) <      > 	V  4 - M  5	= -1  %-25  	q= -1  %-25  	 0.017(65)
printNotes: i= 136-<1298 2217 -919>,  	Fk2 --    1/8th( 80) <      > 	V 87 - M 80	= +7  %+8  	q= +7  %+8  	 0.499(65)
printNotes: i= 137-<2551 2632 -81>,  	Ak2 --    128th(  5) <      > 	V  5 - M  5	=  +  %+0  	q=  +  %+0  	 0.023(65)
printNotes: i= 138-<2650 2632  18>,  	Ak2 --  1/8th..(139) <      > 	V138 - M139	= -1  %-1  	q= -1  %-1  	 0.795(65)<-- same note
printNotes: i= 139-<1959 2482 -523>,  	 G2 --   1/16th( 40) <      > 	V 46 - M 40	= +6  %+13  	q= +6  %+13  	 0.261(65)
printNotes: i= 140-<2362 2482 -120>,  	 G2 --    1/8th( 80) <      > 	V 80 - M 80	=  +  %+0  	q=  +  %+0  	 0.459(65)<-- same note
printNotes: i= 141-<2105 2267 -162>,  	 F2 --    1/8th( 80) <      > 	V 75 - M 80	= -5  %-7  	q= -5  %-7  	 0.430(65)
printNotes: i= 142-<2351 2482 -131>,  	 G2 --  1/8th..(139) <      > 	V140 - M139	= +1  %+1  	q= +1  %+1  	 0.807(65)
printNotes: i= 143-<2683 2690  -7>,  	 A2 --    1/8th( 80) <      > 	V 99 - M119	=-20  %-20  	q=+19  %+19  	 0.569(65)
printNotes: i= 144-<2491 2482   9>,  	 G2 --  1/32nd.( 30) <      > 	V 27 - M 30	= -3  %-11  	q= -3  %-11  	 0.151(65)


silence
printNotes: i= 145-<   0   40 -40>,  	Slc --    1/8th( 80) <      > 	V 77 - M 80	= -3  %-4  	q= -3  %-4  	 0.441(65)
printNotes: i= 146-<2178 2130  48>,  	Ek2 --  1/32nd.( 30) <      > 	V 30 - M 30	=  +  %+0  	q=  +  %+0  	 0.168(65)
printNotes: i= 147-<2648 2690 -42>,  	 A2 --   1/32nd( 20) <      > 	V 23 - M 20	= +3  %+13  	q= +3  %+13  	 0.128(65)
printNotes: i= 148-<2667 2690 -23>,  	 A2 --   1/16th( 40) <      > 	V 40 - M 40	=  +  %+0  	q=  +  %+0  	 0.226(65)<-- same note
printNotes: i= 149-<2521 2482  39>,  	 G2 --  1/64th.( 15) <      > 	V 14 - M 15	= -1  %-7  	q= -1  %-7  	 0.075(65)
printNotes: i= 150-<2744 2790 -46>,  	Bb2 --  128th..(  9) <      > 	V  9 - M  9	=  +  %+0  	q=  +  %+0  	 0.046(65)
printNotes: i= 151-<1995 2482 -487>,  	 G2 --   1/16th( 40) <      > 	V 44 - M 40	= +4  %+9  	q= +4  %+9  	 0.250(65)
printNotes: i= 152-<2391 2690 -299>,  	 A2 --  1/64th.( 15) <      > 	V 11 - M 10	= +1  %+9  	q= -4  %-36  	 0.058(65)
printNotes: i= 153-<2113 2267 -154>,  	 F2 --  1/64th.( 15) <      > 	V 15 - M 15	=  +  %+0  	q=  +  %+0  	 0.081(65)
printNotes: i= 154-<2556 2632 -76>,  	Ak2 --   128th.(  7) <      > 	V  8 - M  7	= +1  %+12  	q= +1  %+12  	 0.041(65)
printNotes: i= 155-<2280 2267  13>,  	 F2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)
printNotes: i= 156-<1722 2632 -910>,  	Ak2 --    128th(  5) <      > 	V  6 - M  5	= +1  %+17  	q= +1  %+17  	 0.029(65)
printNotes: i= 157-<2274 2267   7>,  	 F2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)
printNotes: i= 158-<1823 2482 -659>,  	 G2 --   128th.(  7) <      > 	V  8 - M  7	= +1  %+12  	q= +1  %+12  	 0.041(65)
printNotes: i= 159-<2118 2130 -12>,  	Ek2 --   1/16th( 40) <      > 	V 47 - M 40	= +7  %+15  	q= +7  %+15  	 0.267(65)
printNotes: i= 160-<1943 1911  32>,  	Db2 --  1/64th.( 15) <      > 	V 13 - M 15	= -2  %-15  	q= -2  %-15  	 0.070(65)
printNotes: i= 161-<2115 2130 -15>,  	Ek2 --  1/32nd.( 30) <      > 	V 27 - M 30	= -3  %-11  	q= -3  %-11  	 0.151(65)
printNotes: i= 162-< 723 2011 -1288>,  	 D2 --  1/32nd.( 30) <      > 	V 25 - M 20	= +5  %+20  	q= -5  %-20  	 0.139(65)
printNotes: i= 163-<2153 2267 -114>,  	 F2 --   1/4th.(239) <      > 	V229 - M239	=-10  %-4  	q=-10  %-4  	 1.324(65)
printNotes: i= 164-<2630 2690 -60>,  	 A2 --   128th.(  7) <      > 	V  8 - M  7	= +1  %+12  	q= +1  %+12  	 0.041(65)
printNotes: i= 165-<2495 2482  13>,  	 G2 --    1/8th( 80) <      > 	V 75 - M 70	= +5  %+7  	q= -5  %-7  	 0.430(65)


silence
printNotes: i= 166-<   0   40 -40>,  	Slc --   1/4th.(239) <-1*sela> 	V204 - M248	=-44  %-22  	q=-35  %-17  	 1.178(65)<-----%22   %17

printNotes: i= 167-<1062 1567 -505>,  	Bb1 --   1/16th( 40) <      > 	V 44 - M 40	= +4  %+9  	q= +4  %+9  	 0.250(65)
printNotes: i= 168-<1124 2482 -1358>,  	 G2 --   1/16th( 40) <      > 	V 41 - M 40	= +1  %+2  	q= +1  %+2  	 0.232(65)
printNotes: i= 169-<2478 2482  -4>,  	 G2 --  1/16th.( 60) <      > 	V 60 - M 60	=  +  %+0  	q=  +  %+0  	 0.342(65)<-- same note
printNotes: i= 170-<2026 2267 -241>,  	 F2 --   1/64th( 10) <      > 	V 10 - M 10	=  +  %+0  	q=  +  %+0  	 0.052(65)
printNotes: i= 171-<2445 2482 -37>,  	 G2 --  1/64th.( 15) <      > 	V 11 - M 15	= -4  %-36  	q= -4  %-36  	 0.058(65)
printNotes: i= 172-<2290 2267  23>,  	 F2 --  1/64th.( 15) <      > 	V 16 - M 15	= +1  %+6  	q= +1  %+6  	 0.087(65)
printNotes: i= 173-<1076 2482 -1406>,  	 G2 --   1/32nd( 20) <      > 	V 20 - M 20	=  +  %+0  	q=  +  %+0  	 0.110(65)
printNotes: i= 174-<1135 2011 -876>,  	 D2 --  1/32nd.( 30) <      > 	V 29 - M 30	= -1  %-3  	q= -1  %-3  	 0.163(65)
printNotes: i= 175-<2255 2267 -12>,  	 F2 --  1/8th..(139) <      > 	V132 - M139	= -7  %-5  	q= -7  %-5  	 0.760(65)
